"","Gene","BaseGeneMean","OutlierFactor","GeneMean","DEFacGroup1","DEFacGroup2","DEFacGroup3","Length"
"Gene1","Gene1",0.0469547336199902,1,0.0469547336199902,1,0.78561667763421,1.09022078858386,5964
"Gene2","Gene2",0.724737079763195,1,0.724737079763195,1,1,1,12107
"Gene3","Gene3",0.429549129102266,1,0.429549129102266,1,1,1,1921
"Gene4","Gene4",10.3666963605705,1,10.3666963605705,1,1,1,479
"Gene5","Gene5",0.22889349110702,1,0.22889349110702,1,1,1,986
"Gene6","Gene6",0.839777062630473,1,0.839777062630473,1,1,0.496210109790789,1954
"Gene7","Gene7",0.459693975808859,1,0.459693975808859,0.927837691996264,1,1,2282
"Gene8","Gene8",1.25126371194943,1,1.25126371194943,1,1,1,3913
"Gene9","Gene9",1.55203459136599,1,1.55203459136599,1,1,1,8297
"Gene10","Gene10",1.62344192121831,1,1.62344192121831,1,1,1,4912
"Gene11","Gene11",0.396854500028854,1,0.396854500028854,1,1,1,2586
"Gene12","Gene12",1.30874977914436,1,1.30874977914436,1,1,1,1813
"Gene13","Gene13",0.0927554336316609,1,0.0927554336316609,1,1,1,840
"Gene14","Gene14",4.740155531343,1,4.740155531343,1,1,1,6482
"Gene15","Gene15",0.0127451867146184,52.5701162043513,53.4049510458091,1,1,1,522
"Gene16","Gene16",0.0448954831321302,1,0.0448954831321302,1,1,1,1551
"Gene17","Gene17",6.84811440252531,1,6.84811440252531,1,1,1,1303
"Gene18","Gene18",0.488578000475059,1,0.488578000475059,1,1,1,2279
"Gene19","Gene19",0.0794271017763753,1,0.0794271017763753,1,1,1,3126
"Gene20","Gene20",0.224110979509367,1,0.224110979509367,1,1,1,3794
"Gene21","Gene21",1.73823881047223,1,1.73823881047223,1,1,1,7481
"Gene22","Gene22",7.44206364726367,1,7.44206364726367,1,1,1,2514
"Gene23","Gene23",0.541196587194422,1,0.541196587194422,1,1,1,2908
"Gene24","Gene24",0.0125146171684598,1,0.0125146171684598,1,1,1,1494
"Gene25","Gene25",0.0871547169133296,1,0.0871547169133296,1,1,1,7451
"Gene26","Gene26",0.267440866643609,1,0.267440866643609,1,1,1,1673
"Gene27","Gene27",0.0987478586248195,1,0.0987478586248195,1,1,1,5904
"Gene28","Gene28",1.3596798430321,1,1.3596798430321,1,1,1,2504
"Gene29","Gene29",0.22083616751326,1,0.22083616751326,1,1,1,1515
"Gene30","Gene30",3.01853708019973,1,3.01853708019973,1,1,1,2897
"Gene31","Gene31",2.06843882569765,1,2.06843882569765,1,1,1,3227
"Gene32","Gene32",0.464353518623507,1,0.464353518623507,1,1,1,3344
"Gene33","Gene33",1.10364315494112,1,1.10364315494112,1,1,1,2085
"Gene34","Gene34",0.440188278204166,1,0.440188278204166,1.09949192770579,1,1,1239
"Gene35","Gene35",3.20816059275239,1,3.20816059275239,0.620128591273327,1,1,1430
"Gene36","Gene36",0.114360882621458,1,0.114360882621458,1,1,1,5020
"Gene37","Gene37",4.54915701871117,22.129820987397,22.4812515515542,1,1,1,3965
"Gene38","Gene38",9.07010445401379,1,9.07010445401379,1,0.866313346446267,1,15663
"Gene39","Gene39",2.1423446437123,1,2.1423446437123,1,1,1,1578
"Gene40","Gene40",9.38194832527775,1,9.38194832527775,1,1,1,6478
"Gene41","Gene41",0.454543058183792,1,0.454543058183792,1,1,1,3635
"Gene42","Gene42",1.48388810894785,1,1.48388810894785,1,1,1,3018
"Gene43","Gene43",0.101443254711107,1,0.101443254711107,1,1,1,3102
"Gene44","Gene44",6.68076020969843,1,6.68076020969843,1,1,1,11619
"Gene45","Gene45",0.823186316963513,1,0.823186316963513,1,1,1,5749
"Gene46","Gene46",2.28947852712369e-06,1,2.28947852712369e-06,1,1,1,5453
"Gene47","Gene47",1.23460679653132,1,1.23460679653132,1,1,1,12181
"Gene48","Gene48",1.55987966478908,1,1.55987966478908,1,1,1,1231
"Gene49","Gene49",4.34157355037079,1,4.34157355037079,1,1,1,2405
"Gene50","Gene50",11.6809567366511,1,11.6809567366511,1,1,1,962
"Gene51","Gene51",0.0254723886631409,1,0.0254723886631409,1,1,1,720
"Gene52","Gene52",9.94432151803117,1,9.94432151803117,1,1,1,2137
"Gene53","Gene53",0.0427082933532487,1,0.0427082933532487,1,1,1,2366
"Gene54","Gene54",4.00691259159149,1,4.00691259159149,1,1,1,2526
"Gene55","Gene55",0.529450834732869,1,0.529450834732869,1,0.977277489867571,1,1051
"Gene56","Gene56",4.78194394671093,1,4.78194394671093,1,1,1,3507
"Gene57","Gene57",4.2054655132645,1,4.2054655132645,1,1,1,3907
"Gene58","Gene58",0.0288628781970325,1,0.0288628781970325,1,1.09977852630692,1,4774
"Gene59","Gene59",0.118253744065558,1,0.118253744065558,1,1,1,10177
"Gene60","Gene60",2.18523335773011,1,2.18523335773011,1,1,1,880
"Gene61","Gene61",2.79350080334098,1,2.79350080334098,0.776227595641128,1,1,7455
"Gene62","Gene62",0.32546565339855,1,0.32546565339855,1,1,1,2703
"Gene63","Gene63",8.5458275942262,1,8.5458275942262,0.842269809062564,1,1,3040
"Gene64","Gene64",1.08558285089732,1,1.08558285089732,1,1,0.859434263882463,4767
"Gene65","Gene65",0.0969177131989161,1,0.0969177131989161,0.778590514255135,1,1,7560
"Gene66","Gene66",2.55758905931047,1,2.55758905931047,1,1,1.42843023396561,1130
"Gene67","Gene67",0.82522893621576,1,0.82522893621576,1,1.30095390308656,1,8880
"Gene68","Gene68",5.77120749111993,1,5.77120749111993,1,1,1,1985
"Gene69","Gene69",2.89608776211493,1,2.89608776211493,1,1,1,1817
"Gene70","Gene70",0.211878273994785,1,0.211878273994785,1,1,1,845
"Gene71","Gene71",1.11555463242954,1,1.11555463242954,1,1,1.47722133536887,2911
"Gene72","Gene72",1.21599211617385,1,1.21599211617385,1,1,1,3860
"Gene73","Gene73",0.393385312055484,1,0.393385312055484,1,1.12682874015662,1,2960
"Gene74","Gene74",0.00915640816457718,1,0.00915640816457718,1,1,1,2423
"Gene75","Gene75",3.14971314034604,1,3.14971314034604,1,1,0.88727854265684,1897
"Gene76","Gene76",0.944169749120975,1,0.944169749120975,1,1,1,1498
"Gene77","Gene77",0.465531139516097,1,0.465531139516097,1,1,1,308
"Gene78","Gene78",1.62972434885635,1,1.62972434885635,1,1,1,2709
"Gene79","Gene79",0.785280566733929,1,0.785280566733929,0.542258956404449,1,0.91091593823326,1344
"Gene80","Gene80",1.22695358342053,1,1.22695358342053,1,1,1,9897
"Gene81","Gene81",0.0709892907083206,1,0.0709892907083206,2.84920481672202,1.22852015624221,1,6594
"Gene82","Gene82",0.675928430733686,1,0.675928430733686,1,1,1,2909
"Gene83","Gene83",2.05592277752513,1,2.05592277752513,1,1,1,1862
"Gene84","Gene84",1.65782216862814,1,1.65782216862814,1,1,1,865
"Gene85","Gene85",7.60638100999261,1,7.60638100999261,1,0.652143616822927,1,927
"Gene86","Gene86",0.0168171437430303,1,0.0168171437430303,1,1,1,2950
"Gene87","Gene87",3.12860366412169,1,3.12860366412169,1,1,1,3943
"Gene88","Gene88",0.510653589212059,1,0.510653589212059,1,1,0.818981646770315,1603
"Gene89","Gene89",10.8742486909089,1,10.8742486909089,1,1,0.650135836420068,3276
"Gene90","Gene90",7.38148116303021,36.7177847762938,37.3008781427463,1,1,1,847
"Gene91","Gene91",0.0156381520099671,1,0.0156381520099671,1,1,1,15876
"Gene92","Gene92",0.0655740005401134,1,0.0655740005401134,1,1,1,1218
"Gene93","Gene93",0.192906776113448,1,0.192906776113448,1,1,1,3761
"Gene94","Gene94",0.0344118564378111,1,0.0344118564378111,1,1.0144135835558,1,3200
"Gene95","Gene95",1.95314171455488,1,1.95314171455488,1,1,1,2958
"Gene96","Gene96",0.278571660616563,1,0.278571660616563,0.667169313915047,1,1,2009
"Gene97","Gene97",0.125311062865493,1,0.125311062865493,1,1,1,5630
"Gene98","Gene98",2.42686478260558,1,2.42686478260558,1.1341578762295,1,1,4309
"Gene99","Gene99",3.41956810535237,1,3.41956810535237,1,1,1,2405
"Gene100","Gene100",0.0768517754879446,1,0.0768517754879446,1,1,1,3302
"Gene101","Gene101",0.485910098236972,1,0.485910098236972,1,1,1,551
"Gene102","Gene102",0.386833177353668,1,0.386833177353668,1,0.769519051844948,1,3913
"Gene103","Gene103",0.473781509788157,1,0.473781509788157,1,1,1,1495
"Gene104","Gene104",1.57974850958972,1,1.57974850958972,1,1,1.36662649748057,5306
"Gene105","Gene105",9.4620969045571,1,9.4620969045571,1,1,1,4723
"Gene106","Gene106",0.938180122317241,1,0.938180122317241,1.96430671853454,1,1,2821
"Gene107","Gene107",0.117859707252413,1,0.117859707252413,1,1.40327391554435,1,2804
"Gene108","Gene108",0.091296672013483,1,0.091296672013483,1,0.807511473328374,1,3242
"Gene109","Gene109",0.0998381284649496,1,0.0998381284649496,1,1,1,1340
"Gene110","Gene110",0.0460576845152663,1,0.0460576845152663,1,1,0.727805389913906,1830
"Gene111","Gene111",0.0336069404038785,32.1035886305113,32.6134066841827,1,1,1,2283
"Gene112","Gene112",3.90628110658674,1,3.90628110658674,1,1,1,3341
"Gene113","Gene113",0.00871496283260631,1,0.00871496283260631,1,1,1,2261
"Gene114","Gene114",0.362935252587044,1,0.362935252587044,1,1,1,2743
"Gene115","Gene115",3.08009729418973,1,3.08009729418973,1.70067208134223,1,1,5248
"Gene116","Gene116",4.63535187156105,1,4.63535187156105,1,1,0.812110288019292,1138
"Gene117","Gene117",0.0884044839860574,125.721431454003,127.717938954343,1,1,1,1868
"Gene118","Gene118",0.0204500628379736,1,0.0204500628379736,1,1,1,3085
"Gene119","Gene119",1.09055245737226,1,1.09055245737226,1,1,1,2820
"Gene120","Gene120",0.0886821872251337,1,0.0886821872251337,1,1,1,2801
"Gene121","Gene121",10.1573254630109,1,10.1573254630109,1,1,1,990
"Gene122","Gene122",0.555171778087652,1,0.555171778087652,1,1,1,1911
"Gene123","Gene123",1.61139636681669,1,1.61139636681669,1,1.26320547738986,1,916
"Gene124","Gene124",4.01965440623205,1,4.01965440623205,1,1,1,3061
"Gene125","Gene125",0.336885712242382,1,0.336885712242382,0.666586038830141,1,0.833520553415477,4741
"Gene126","Gene126",1.2353287155105,1,1.2353287155105,1,0.904908590697242,1,2974
"Gene127","Gene127",2.37518452516085,1,2.37518452516085,1,1.21508233705266,1,2067
"Gene128","Gene128",1.011118460254,1,1.011118460254,1,1,1,4209
"Gene129","Gene129",0.633484474318946,1,0.633484474318946,1,0.689815045974073,1,3914
"Gene130","Gene130",3.52591307931608,1,3.52591307931608,1,1,1,2171
"Gene131","Gene131",1.67185964624991,1,1.67185964624991,1,1,1,2351
"Gene132","Gene132",0.000142150321178377,1,0.000142150321178377,1,1,1,5031
"Gene133","Gene133",3.0169555942728,1,3.0169555942728,1,1,1,1780
"Gene134","Gene134",1.56412581304045,1,1.56412581304045,1,1,1,2463
"Gene135","Gene135",5.99559273613797,1,5.99559273613797,1.83156203620273,1,1,2788
"Gene136","Gene136",1.58620647460075,40.0087664891336,40.6441219846216,1,1,1,2075
"Gene137","Gene137",2.03421147498929,1,2.03421147498929,1,1,0.979557588766744,4624
"Gene138","Gene138",4.69646743956037,1,4.69646743956037,1.48540561503069,1,1,3477
"Gene139","Gene139",7.91304312932085,1,7.91304312932085,1,1.30387221561035,1,3146
"Gene140","Gene140",4.63092711891911,1,4.63092711891911,1,1,1,2111
"Gene141","Gene141",5.10251869148219,1,5.10251869148219,1,1,1,1504
"Gene142","Gene142",2.00899160660211,1,2.00899160660211,1,1,1,1524
"Gene143","Gene143",2.62967349245662,1,2.62967349245662,1,1,1,2527
"Gene144","Gene144",2.02894746331948,1,2.02894746331948,1,1,0.984824087542231,2052
"Gene145","Gene145",3.29295300229945,1,3.29295300229945,1,0.866400962669801,1,1571
"Gene146","Gene146",0.158000678209549,1,0.158000678209549,1,1,1,4133
"Gene147","Gene147",0.722463217444924,1,0.722463217444924,1,1,1.0886838161357,4599
"Gene148","Gene148",2.46296765245801,1,2.46296765245801,1,1,1,1952
"Gene149","Gene149",1.0735292654087,1,1.0735292654087,0.519129255834728,1,1,3853
"Gene150","Gene150",5.49028595179006,1,5.49028595179006,1,1,1,7538
"Gene151","Gene151",0.0388409164690839,1,0.0388409164690839,1,1,1,7133
"Gene152","Gene152",0.223118257896875,1,0.223118257896875,1,1,1,3424
"Gene153","Gene153",4.03546531005608,1,4.03546531005608,1,1,1,2326
"Gene154","Gene154",1.72402959976331,1,1.72402959976331,1,1,1,3241
"Gene155","Gene155",0.520083457276558,1,0.520083457276558,1,1,0.542904191144528,4828
"Gene156","Gene156",0.290616657090401,1,0.290616657090401,1,1,1,4756
"Gene157","Gene157",0.323689408403249,79.6838220239347,80.9492335491349,1,1,1,1489
"Gene158","Gene158",1.40702608850914,1,1.40702608850914,1,1,1,6245
"Gene159","Gene159",0.824386601967245,1,0.824386601967245,1,1,1,3317
"Gene160","Gene160",1.02713076247792,1,1.02713076247792,1,1,1,4004
"Gene161","Gene161",2.32817385965361,1,2.32817385965361,0.881497999240378,1,1,2961
"Gene162","Gene162",0.00757961160638245,1,0.00757961160638245,1,1,1,2157
"Gene163","Gene163",9.47309638558592,1,9.47309638558592,1.36167417720609,1,1,6279
"Gene164","Gene164",1.67324127162314,1,1.67324127162314,1,1,1,2295
"Gene165","Gene165",0.000588357509196381,1,0.000588357509196381,1,1,1,4407
"Gene166","Gene166",0.800006365866764,1,0.800006365866764,1,1,1,1898
"Gene167","Gene167",3.59479981013198,1,3.59479981013198,1.1474241103663,1,1,1840
"Gene168","Gene168",3.12090410880225,1,3.12090410880225,1,1,1,1812
"Gene169","Gene169",0.0380490657220465,1,0.0380490657220465,1,1,1,4333
"Gene170","Gene170",0.622495900932088,1,0.622495900932088,1,1,1,969
"Gene171","Gene171",0.784350896757825,1,0.784350896757825,1.94905685758316,1,1,5288
"Gene172","Gene172",0.0725843401499739,1,0.0725843401499739,1,1,1,985
"Gene173","Gene173",1.77043048812658,1,1.77043048812658,1,1,1,3633
"Gene174","Gene174",7.35243464581281,1,7.35243464581281,1,1,1,2248
"Gene175","Gene175",2.19939849645943,1,2.19939849645943,1,1,1,2317
"Gene176","Gene176",5.96636685676831,1,5.96636685676831,1,1.13371102979957,1.04255984795463,1192
"Gene177","Gene177",0.183981189267071,1,0.183981189267071,1,1,1,904
"Gene178","Gene178",2.15736608464088,1,2.15736608464088,1,1,0.731879316754989,1168
"Gene179","Gene179",0.159182267762607,70.495408028707,71.6149037999619,1,1,1,4834
"Gene180","Gene180",10.3785171029231,1,10.3785171029231,1,1,1,1716
"Gene181","Gene181",0.0756706319964607,1,0.0756706319964607,1,1,1,3778
"Gene182","Gene182",2.91389793539574,1,2.91389793539574,1,1,1,2310
"Gene183","Gene183",7.42022102837393,1,7.42022102837393,1,1,1,2715
"Gene184","Gene184",0.201823783058067,1,0.201823783058067,1,1.09931319215674,1,5952
"Gene185","Gene185",0.63823481062013,1,0.63823481062013,1,0.931777725154148,1,5291
"Gene186","Gene186",0.843796661415181,1,0.843796661415181,1,1,1,7608
"Gene187","Gene187",2.33940211115691,1,2.33940211115691,1,1,0.701939402270474,2775
"Gene188","Gene188",0.591238383173295,1,0.591238383173295,1,1,1,2641
"Gene189","Gene189",0.000970990536004107,1,0.000970990536004107,1,1,1,5372
"Gene190","Gene190",2.38809205238385,1,2.38809205238385,1,1,1,1047
"Gene191","Gene191",0.458773298369554,1,0.458773298369554,1,1,0.8314521273412,1446
"Gene192","Gene192",0.224317235512345,96.6597330487491,98.19472895025,1,1,1,2351
"Gene193","Gene193",1.85250427552019,1,1.85250427552019,1.02549535914806,1,1,9718
"Gene194","Gene194",0.384601077049585,1,0.384601077049585,1,0.514586130260849,1.13237337963077,2949
"Gene195","Gene195",1.04303310255791,1,1.04303310255791,0.682462002211703,1,1,5451
"Gene196","Gene196",6.61966757677431,1,6.61966757677431,1.61213655123374,1,1,6091
"Gene197","Gene197",0.463707596737597,1,0.463707596737597,1,1,1,3177
"Gene198","Gene198",0.543936963937813,1,0.543936963937813,1,1,1,5609
"Gene199","Gene199",0.941625029876388,1,0.941625029876388,1,1,1,2133
"Gene200","Gene200",0.607441445969495,1,0.607441445969495,1,1,1,604
"Gene201","Gene201",2.28848504698359,1,2.28848504698359,1,1,1,3319
"Gene202","Gene202",2.00885416301933,1,2.00885416301933,1,0.632893181213215,1,4913
"Gene203","Gene203",0.276458006972481,1,0.276458006972481,1,1,1,3478
"Gene204","Gene204",6.93064872164079,1,6.93064872164079,1,1,1,3994
"Gene205","Gene205",2.66540720095422,1,2.66540720095422,1,1,1,1982
"Gene206","Gene206",0.215128456430917,1,0.215128456430917,1,1,1,3629
"Gene207","Gene207",2.18065875195214,1,2.18065875195214,1,1,1.26385494920381,2271
"Gene208","Gene208",8.43255813938134,1,8.43255813938134,1,1,1,2884
"Gene209","Gene209",4.89745754564431,1,4.89745754564431,1,0.776403159104504,1,4446
"Gene210","Gene210",4.15614406703814,1,4.15614406703814,1,1,0.968864916402082,2670
