,Cell2020,Cell6,Cell186
mix0,0.12610864546050782,0.8074838373772886,0.0664075171622038
mix1,0.17331850100424753,0.2066334611113568,0.6200480378843957
mix2,0.7371332778037242,0.19730076156548304,0.06556596063079285
mix3,0.2003589057196448,0.03373093256816355,0.7659101617121918
mix4,0.04129310757352634,0.38646958707672846,0.572237305349745
mix5,0.5188952352009866,0.10245517567863803,0.37864958912037533
mix6,0.5017857709810847,0.400116016966199,0.09809821205271642
mix7,0.2532325711346503,0.5972435603614145,0.14952386850393506
mix8,0.14871012850037757,0.686882094019454,0.16440777748016852
mix9,0.10218994559527998,0.8079334724826719,0.08987658192204818
mix10,0.4985871136664911,0.21990593395628819,0.2815069523772206
mix11,0.5138396245408783,0.0915091603167083,0.39465121514241347
mix12,0.04109274657265866,0.46670243887900786,0.4922048145483335
mix13,0.30567497506179075,0.34396081644328114,0.35036420849492816
mix14,0.8364691149828571,0.14603628407479943,0.017494600942343393
mix15,0.9213236363574862,0.05871054662043637,0.01996581702207739
mix16,0.4413203675072455,0.3465318232898123,0.21214780920294224
mix17,0.2882257021055169,0.435355619777822,0.2764186781166611
mix18,0.45452900412368896,0.3271998681699439,0.2182711277063671
mix19,0.29012836428947975,0.6177944852318268,0.09207715047869354
mix20,0.224435201301022,0.2125893896054227,0.5629754090935551
mix21,0.30457313722976753,0.45559624594596826,0.23983061682426404
mix22,0.347077438890454,0.16564525510528696,0.4872773060042589
mix23,0.3405204051272355,0.4838110486733842,0.17566854619938035
mix24,0.7702278725829986,0.12117249371910807,0.10859963369789336
mix25,0.35914515816629233,0.23733613014710345,0.40351871168660436
mix26,0.2613365244330411,0.023788694280305434,0.7148747812866535
mix27,0.174175298532307,0.5422230924391057,0.2836016090285873
mix28,0.19005254005814928,0.08341780972099751,0.7265296502208533
mix29,0.11477022317549328,0.7617716803104958,0.1234580965140109
mix30,0.579503232606209,0.056382203188569714,0.36411456420522126
mix31,0.6645428344965236,0.2397805720665713,0.09567659343690493
mix32,0.12006431091743448,0.33551823816315485,0.5444174509194106
mix33,0.6618008056384669,0.23949749327342099,0.0987017010881121
mix34,0.34057702111622995,0.3858986939806294,0.2735242849031405
mix35,0.7295537875712766,0.02024590408550166,0.25020030834322177
mix36,0.06459128764170048,0.7520124408819255,0.18339627147637405
mix37,0.20694749559834835,0.661653129973372,0.13139937442827965
mix38,0.17792083207668885,0.6613767562556674,0.16070241166764396
mix39,0.6256296855923755,0.09385974791803708,0.28051056648958744
mix40,0.045867027716521826,0.2476096624083924,0.7065233098750857
mix41,0.12261514320044718,0.44887288883189974,0.4285119679676531
mix42,0.6800543299955089,0.003798559415527054,0.31614711058896394
mix43,0.09519039689097622,0.35739494333265015,0.5474146597763736
mix44,0.46703983358116347,0.2600625036400942,0.2728976627787424
mix45,0.045381273445486765,0.21182818966466888,0.7427905368898444
mix46,0.5887093609270759,0.1161378047170178,0.2951528343559062
mix47,0.09128977766168335,0.5415721082144692,0.3671381141238474
mix48,0.3570229771117832,0.4818752149373364,0.1611018079508804
mix49,0.5606989630026005,0.43269127956459785,0.006609757432801689
