prop,col,pearson,spearman,p
sim,Cell2981,0.9064625597700052,0.897719087635054,1.0386881735669837e-18
sim,Cell1370,0.9297748127209108,0.9190396158463384,4.860662824604031e-21
sim,Cell2268,0.8288157846942105,0.8359663865546219,4.2105774651763033e-14
sim,Cell1044,0.9536973379919892,0.9443937575030013,7.882137713321822e-25
sim,Cell2459,0.8631770648562136,0.8690036014405762,2.8192280045516583e-16
sim,Cell788,0.9253439441342092,0.904153661464586,2.3526481233643583e-19
sim,Cell2750,0.9003841811224534,0.8868667466986795,1.0299777854339818e-17
sim,Cell2348,0.9425890765743656,0.9372869147659064,1.3038943304009616e-23
sim,Cell2572,0.8588020746272631,0.857767106842737,1.779967937368874e-15
sim,Cell368,0.912381912872662,0.921344537815126,2.4952925654115137e-21
sim,Cell561,0.9191790379068736,0.9040576230492195,2.407209622908061e-19
sim,Cell1748,0.8429274055306563,0.8743817527010804,1.0979396384873719e-16
sim,Cell1010,0.91497408497111,0.9210564225690274,2.715175317703572e-21
sim,Cell447,0.9020870058546544,0.924609843937575,9.362956052212978e-22
sim,Cell740,0.8213358578745991,0.8219447779111644,2.5485550245106405e-13
sim,Cell72,0.9021302077030078,0.8816806722689075,2.8426972580165145e-17
sim,Cell60,0.921681422064168,0.9211524609843936,2.639902619716538e-21
sim,Cell826,0.7658318928423331,0.8075390156062424,1.385805531728089e-12
sim,Cell1752,0.9204967365109624,0.92124849939976,2.566625184803197e-21
sim,Cell1713,0.8826618593281327,0.8992557022809122,7.352514369485146e-19
sim,Cell2647,0.843231565641396,0.8604561824729892,1.1621272445596057e-15
sim,Cell280,0.920626302819353,0.933157262905162,5.748264613472373e-23
sim,Cell94,0.9351275147711527,0.9262424969987996,5.640501453007451e-22
sim,Cell1760,0.8480910304873581,0.8823529411764706,2.498897813703167e-17
sim,Cell1189,0.9307048061187396,0.9386314525810324,7.870158202722891e-24
sim,Cell1805,0.7680826371010346,0.7385834333733493,9.212482220743035e-10
sim,Cell395,0.7629306038384898,0.7793997599039617,2.5998989722804567e-11
sim,Cell710,0.924049844724532,0.868235294117647,3.214865335277493e-16
sim,Cell190,0.8486179611214314,0.883313325330132,2.075777240647692e-17
sim,Cell868,0.8788115577709585,0.841920768307323,1.8611620389290444e-14
sim,Cell2230,0.9369075213742936,0.944297719087635,8.206494999514927e-25
sim,Cell715,0.9107105692743412,0.8884033613445379,7.551933882289267e-18
sim,Cell1709,0.880387615498048,0.8986794717887154,8.3750089707348e-19
sim,Cell50,0.9084950421612618,0.8909003601440576,4.516534581760487e-18
sim,Cell1138,0.9341525581615352,0.9431452581032412,1.3241392069319303e-24
sim,Cell516,0.8307319188500826,0.8285714285714285,1.1105240586970989e-13
sim,Cell2085,0.9591478217089472,0.94890756302521,1.087493921626144e-25
sim,Cell111,0.9097944999042176,0.919423769507803,4.355459677104722e-21
