,Cell2927,Cell1662,Cell1694,,,
mix0,0.10180961984287276,0.25429526407684183,0.44584527990642464,,,"[['sim', 'Cell2927', 0.9840032113361703, 0.9811764705882352, 6.108800235012443e-36], ['sim', 'Cell1662', 0.9708996872529204, 0.9555342136854742, 4.178124924856935e-27], ['sim', 'Cell1694', 0.9388958117532843, 0.9441056422569026, 8.89389873486453e-25]]"
mix1,0.44313739508570704,0.10081519760807066,0.4429718733544283,,,
mix2,0.10390144793045435,0.46796389406325184,0.3709570263080843,,,
mix3,0.505463553,0.22554607792613443,0.12544392747998395,,,
mix4,0.043385737141918845,0.26936650455301775,0.5574911353996787,,,
mix5,0.632751452,0.26417797110899244,0.17627760946907028,,,
mix6,0.064455585,0.6289036634040371,0.31570410188765824,,,
mix7,0.25396970176970174,0.2928845027616002,0.4090839810433191,,,
mix8,0.5122313509220415,0.22718767998858994,0.3297996944829611,,,
mix9,0.10194676917637908,0.16644866228596694,0.6482173106365184,,,
mix10,0.5269382349733817,0.11917868837957624,0.3670416342344604,,,
mix11,0.22741889326036155,0.1113712354906172,0.795889466,,,
mix12,0.652403321,0.17147378840324362,0.19300387468619573,,,
mix13,0.35242088350609374,0.362157713,0.3183988750233963,,,
mix14,0.6083759749233986,0.15105559123745327,0.210878901,,,
mix15,0.17356145929586883,0.16365656873796472,0.4136873022577548,,,
mix16,0.089649707,0.775657803,0.11886586745081065,,,
mix17,0.045815124756920414,0.6965130172365732,0.3349816502010561,,,
mix18,0.4869687136953683,0.22657361939847526,0.21489209395354641,,,
mix19,0.46950891018336177,0.18084698492853815,0.3050574668894917,,,
mix20,0.4909634189935352,0.13500120075212524,0.46814588941696533,,,
mix21,0.43984354374824813,0.47805548397215714,0.14607506141181742,,,
mix22,0.5656120593754573,0.13215047258664295,0.27533034712204674,,,
mix23,0.02732094,0.567829938,0.37875983769209987,,,
mix24,0.13551663000432435,0.055430561,0.5459084807951183,,,
mix25,0.710961082,0.21529038699693206,0.21303839917263911,,,
mix26,0.3242848995817426,0.36961966387301864,0.2402076256567774,,,
mix27,0.13416365429867555,0.6310102086302729,0.2361505573889502,,,
mix28,0.2537501821349241,0.5173647477159257,0.2803101566495594,,,
mix29,0.18500691556963475,0.6626398984831233,0.072324646,,,
mix30,0.058843393793847676,0.652111374,0.24812812120946437,,,
mix31,0.4003748343509189,0.14871833929702152,0.490172942,,,
mix32,0.511929701,0.22371909843614213,0.2019538694108675,,,
mix33,0.22369354010264242,0.16596699838260434,0.49489115542116935,,,
mix34,0.5795502938897914,0.13994014572153565,0.19626135459450894,,,
mix35,0.36725645809983404,0.4041788964586801,0.12499986194552518,,,
mix36,0.11622474475917789,0.2905963138415371,0.6572947594086831,,,
mix37,0.7283808132031888,0.19284367208061948,0.19753644210839955,,,
mix38,0.020884246232857468,0.5191508522472907,0.33635203466756136,,,
mix39,0.549908093,0.079321989,0.23166624794374854,,,
mix40,0.11536910410378245,0.5224009125850213,0.3616099643769475,,,
mix41,0.4144831083195114,0.3030783556578596,0.2920659609646218,,,
mix42,0.084758425,0.7790215848217327,0.30069174291341605,,,
mix43,0.11361488534857232,0.4805700085462414,0.3551241651201558,,,
mix44,0.076174963,0.060059541827452795,0.9401167897265975,,,
mix45,0.40605438020725937,0.2192737592317803,0.21597545921359523,,,
mix46,0.43374679309252967,0.3319994712557414,0.15577595521882096,,,
mix47,0.4120426271241189,0.3714488772763114,0.1551410004999826,,,
mix48,0.34936680165878414,0.44682854170833075,0.22654533978331698,,,
mix49,0.16126689662125762,0.7527388801131925,0.10864443159244522,,,
