,Cell2927,Cell1662,Cell1694,,,
mix0,0.1022450560683007,0.25201357218498477,0.4467662859680131,,,"[['sim', 'Cell2927', 0.9845544931448257, 0.9812725090036014, 5.408855592290809e-36], ['sim', 'Cell1662', 0.9662696637520439, 0.9520768307322929, 2.4238856149389032e-26], ['sim', 'Cell1694', 0.9423774946496343, 0.9433373349339735, 1.2235077034372959e-24]]"
mix1,0.44401478582835396,0.10046417597141573,0.4464129430692013,,,
mix2,0.10519385393544596,0.47666472990877556,0.3794006205157637,,,
mix3,0.5018718087713946,0.23252850400682248,0.12495978862103156,,,
mix4,0.041957049387695344,0.2687208869804948,0.5684230969734946,,,
mix5,0.6276383737398318,0.27026212623744894,0.17301422475376924,,,
mix6,0.062681748,0.6266981651834793,0.3151064007985258,,,
mix7,0.255236861,0.30133792169329654,0.4177799612015665,,,
mix8,0.508716664,0.2322403657523124,0.3335476645665739,,,
mix9,0.097538647,0.165920333,0.6591988637634927,,,
mix10,0.5252045019131452,0.11822841905474596,0.3585356813436482,,,
mix11,0.2218596147509332,0.11335147253301027,0.8002921093595018,,,
mix12,0.6541977647321501,0.17473715425851244,0.18884038072497333,,,
mix13,0.35093981008436154,0.36223842204788687,0.31797662280505534,,,
mix14,0.6062454003371809,0.1581955423699268,0.20878611776905207,,,
mix15,0.16946040138187862,0.1607714244024125,0.42721348730530223,,,
mix16,0.090963656,0.7744056243032668,0.11759522063509309,,,
mix17,0.043263154,0.6944297224544934,0.3179199928782397,,,
mix18,0.48523390156439705,0.24352253210945862,0.2113566226111737,,,
mix19,0.46577595704815344,0.1899115852663739,0.3201680785213338,,,
mix20,0.48659544212530237,0.13596613139247452,0.47410129713300864,,,
mix21,0.43697078337065504,0.4801080794784919,0.1410320083607399,,,
mix22,0.5611838442539941,0.1430450716901504,0.26650242566395677,,,
mix23,0.028870028446363168,0.5608617684647367,0.3803941446751026,,,
mix24,0.13076182932493452,0.054381223092046245,0.5477138671797663,,,
mix25,0.6981281786456832,0.22942237069655344,0.21640562885811154,,,
mix26,0.3242860667827465,0.37203280781671616,0.23736034467395414,,,
mix27,0.13394247220112537,0.6362003920244745,0.2402796470682552,,,
mix28,0.25106833990791205,0.516380772,0.27327190958845415,,,
mix29,0.18491066303302986,0.6603705498663649,0.080575285,,,
mix30,0.056981242,0.6475085029676378,0.23705000384648464,,,
mix31,0.3988981867290525,0.1520426985445723,0.49083181761612116,,,
mix32,0.5073014725734448,0.2287540072587971,0.19722004201116358,,,
mix33,0.22112872220110766,0.1634764923588255,0.49307798017567395,,,
mix34,0.5801689531448186,0.1421668563754871,0.18400284959576646,,,
mix35,0.37114186705699787,0.40392032719785653,0.12844433722585213,,,
mix36,0.11695800456766885,0.29462501319340484,0.6566568711896086,,,
mix37,0.7090840911248779,0.20085853567684903,0.19809329750851867,,,
mix38,0.020484986127151984,0.49763262518177354,0.3423453592406958,,,
mix39,0.5500238129183584,0.080388457,0.23230934888488564,,,
mix40,0.11796698316917192,0.522422146,0.3593349559939534,,,
mix41,0.4095843890421033,0.3049728900975879,0.29203936182231893,,,
mix42,0.083841251,0.7963686576298454,0.2937421755963041,,,
mix43,0.11410815316060509,0.48296327621879676,0.3609734824289689,,,
mix44,0.074380573,0.060527159,0.9504491077735436,,,
mix45,0.4009617944110889,0.22901060472291515,0.21598179163025455,,,
mix46,0.43567842390065276,0.3320802852182758,0.15236919891289147,,,
mix47,0.4097836147795797,0.37232176614610646,0.15113274533408497,,,
mix48,0.34942760998501415,0.450860612,0.22722343627073605,,,
mix49,0.15986309861835216,0.7511414875508522,0.095312848,,,
