,B-cells,CD16- monocytes,CD16+ monocytes,memory.CD4.T.cells,CD8+ T-cells,CD4+ Tcm,memory.CD8.T.cells,effector CD4+ T cells,effector CD8+ T cells,CD4+ Tem,CD8+ Tem,Tgd cells,lymphocytes,memory.B.cells,monocytes,naive.B.cells,naive.CD4.T.cells,naive.CD8.T.cells,NK.cells,NKT,Plasma cells,T cells,pro B-cells,regulatory.T.cells
SUB137169,0.071,0.143,0.008,0.4138,0.1895,0.108,0.0345,0.0132,0.0229,0.055,0.0303,0.0161,0.845,0.0024,0.151,0.0673,0.2375,0.1018,0.0195,0.0297,0.0013,0.7098,8.00E-04,0.0185
SUB137172,0.1342,0.1695,0.0155,0.2014,0.1304,0.0763,0.0219,0.0056,0.0326,0.0485,0.0193,0.0113,0.806,0.0024,0.185,0.1285,0.0709,0.0566,0.062,0.0113,0.0039,0.4796,0.0013,0.011
SUB137208,0.1344,0.2324,0.0101,0.2301,0.0866,0.1301,0.0272,0.0042,0.0087,0.0532,0.0271,0.0125,0.755,0.019,0.2425,0.1149,0.0427,0.0236,0.069,0.0145,0.0015,0.4058,7.00E-04,0.0111
SUB137209,0.0858,0.2006,0.0114,0.2718,0.1613,0.0775,0.0053,0.0123,0.0255,0.0443,0.0689,0.0413,0.786,0.0185,0.212,0.0644,0.1378,0.0618,0.1146,0.0248,0.0028,0.5188,0.0018,0.0294
SUB137220,0.0493,0.16,0.0089,0.2618,0.2549,0.1108,0.0137,0.0087,0.1165,0.0456,0.0612,0.0226,0.744,0.0065,0.169,0.0411,0.0966,0.0635,0.022,0.0755,0.0034,0.6294,0.001,0.0147
SUB137224,0.0626,0.1663,0.0136,0.332,0.0947,0.1371,0.0209,0.0071,0.0246,0.0385,0.0115,0.0205,0.676,0.0066,0.184,0.0552,0.1494,0.0377,0.0232,0.024,0.0012,0.532,3.00E-04,0.0137
SUB137269,0.1389,0.132,0.0131,0.3721,0.1096,0.1075,0.0107,0.0095,0.0282,0.03,0.0174,0.0271,0.848,0.0121,0.145,0.1227,0.2251,0.0533,0.038,0.0082,9.00E-04,0.5707,0.0014,0.0228
SUB137270,0.1244,0.0648,0.0071,0.1704,0.1448,0.0586,0.0062,0.008,0.0546,0.0211,0.0125,0.0408,0.888,0.0197,0.0719,0.0967,0.0826,0.0715,0.1393,0.0394,2.00E-04,0.4733,7.00E-04,0.01
SUB137272,0.0748,0.1719,0.0082,0.1806,0.1015,0.0555,0.0066,0.0141,0.0534,0.0376,0.0265,0.0179,0.811,0.0031,0.18,0.0695,0.0735,0.015,0.0954,0.0155,4.00E-04,0.455,2.00E-04,0.0102
SUB137273,0.1148,0.1913,0.0047,0.3093,0.0367,0.0829,0.0028,0.0148,0.01,0.0222,0.0043,0.0065,0.8,0.0226,0.196,0.0862,0.1893,0.0195,0.1002,0.0046,2.00E-04,0.4344,0.0014,0.015
SUB137274,0.0115,0.2402,0.0149,0.2376,0.1457,0.0449,0.0105,0.0404,0.0623,0.0834,0.0253,0.0265,0.739,0.0013,0.255,0.0096,0.0691,0.0475,0.0836,0.0352,5.00E-04,0.5166,1.00E-04,0.0156
SUB137277,0.1282,0.1103,0.0027,0.321,0.1367,0.1021,0.0208,0.0401,0.0422,0.0803,0.0324,0.0114,0.882,0.0112,0.113,0.1131,0.0989,0.0413,0.0302,0.0139,0.0012,0.5945,8.00E-04,0.0191
SUB137283,0.1185,0.1419,0.0041,0.2254,0.1253,0.0476,0.0061,0.0374,0.053,0.0606,0.0237,0.0108,0.847,0.0136,0.146,0.0993,0.0798,0.0426,0.0389,0.0094,3.00E-04,0.4836,3.00E-04,0.0124
SUB137284,0.0698,0.3141,0.0028,0.1629,0.0446,0.0355,0.0018,0.0326,0.0162,0.0409,0.0088,0.0063,0.676,0.0057,0.317,0.0607,0.0539,0.0178,0.0188,0.0044,2.00E-04,0.3164,0,0.0077
SUB137286,0.0653,0.087,0.0055,0.4734,0.1949,0.1491,0.0327,0.0141,0.0257,0.0615,0.0232,0.0144,0.881,0.0083,0.0926,0.0566,0.2485,0.1133,0.009,0.0524,6.00E-04,0.7735,2.00E-04,0.0087
SUB137289,0.091,0.1787,0.0073,0.4675,0.039,0.2188,0.0112,0.0025,0.0043,0.0422,0.0077,0.008,0.813,0.0041,0.186,0.0855,0.2043,0.0158,0.0504,0.0061,0.0025,0.5553,5.00E-04,0.0171
SUB137290,0.0363,0.195,0.0141,0.1558,0.109,0.0059,0.0016,0.0578,0.0708,0.0079,0.0132,0.0095,0.788,0.003,0.209,0.0323,0.0841,0.0236,0.0581,0.0173,5.00E-04,0.472,1.00E-04,0.0097
SUB137292,0.1343,0.1027,0.0033,0.2564,0.1415,0.0992,0.0078,0.0062,0.0548,0.03,0.0151,0.0248,0.895,0.0079,0.106,0.1171,0.121,0.0637,0.0463,0.013,0.0021,0.5549,8.00E-04,0.0113
SUB137300,0.0649,0.4526,0.0069,0.0693,0.0253,0.0102,5.00E-04,0.0138,0.013,0.0179,0.0074,0.0101,0.535,0.0031,0.46,0.0592,0.0275,0.0043,0.0321,0.0036,0.0013,0.1915,1.00E-04,0.0026
SUB137301,0.113,0.2076,0.0034,0.1927,0.0769,0.0283,0.0039,0.0416,0.0162,0.0418,0.0092,0.0029,0.782,0.0069,0.211,0.1018,0.0811,0.0476,0.047,0.0027,2.00E-04,0.3965,1.00E-04,0.0061
SUB137302,0.1997,0.2481,0.0071,0.1811,0.0438,0.0556,0.0038,0.0169,0.0142,0.0301,0.0071,0.0066,0.738,0.022,0.256,0.1742,0.0784,0.0188,0.0245,0.0042,0.001,0.3845,0.001,0.0133
SUB137304,0.0931,0.1418,0.004,0.2448,0.1566,0.1023,0.0185,0.0152,0.0534,0.0808,0.0222,0.0152,0.845,0.0039,0.146,0.0883,0.0465,0.0625,0.0568,0.029,4.00E-04,0.5476,4.00E-04,0.0187
SUB137305,0.1481,0.1348,0.0156,0.1441,0.2444,0.0473,0.0357,0.01,0.0882,0.0584,0.0633,0.0132,0.844,0.0109,0.151,0.1355,0.0285,0.0569,0.0616,0.0244,2.00E-04,0.5418,3.00E-04,0.0114
SUB137307,0.0898,0.243,0.0017,0.1996,0.1644,0.0359,0.0155,0.0319,0.0442,0.0419,0.0317,0.0209,0.748,0.0037,0.245,0.0846,0.09,0.073,0.0333,0.0187,1.00E-04,0.463,0,0.016
