,Adipocytes,Astrocytes,B-cells,Basophils,CD4+ T-cells,CD4+ Tcm,CD4+ Tem,CD4+ memory T-cells,CD4+ naive T-cells,CD8+ T-cells,CD8+ Tcm,CD8+ Tem,CD8+ naive T-cells,CLP,CMP,Chondrocytes,DC,Endothelial cells,Eosinophils,Epithelial cells,Erythrocytes,Fibroblasts,GMP,HSC,Hepatocytes,Keratinocytes,MEP,MPP,MSC,Macrophages,Macrophages M1,Macrophages M2,Mast cells,Megakaryocytes,Melanocytes,Memory B-cells,Mesangial cells,Monocytes,Myocytes,NK cells,NKT,Neurons,Neutrophils,Osteoblast,Pericytes,Plasma cells,Platelets,Preadipocytes,Sebocytes,Skeletal muscle,Smooth muscle,Tgd cells,Th1 cells,Th2 cells,Tregs,ly Endothelial cells,mv Endothelial cells,naive B-cells,pro B-cells
0,adh1b,acta2,tnfrsf17,ceacam8,bad,cd5,tnfsf8,cd3g,cd2,cd8a,cd8b,abcd2,cd8a,cox6c,azu1,adra1d,flt3,acvrl1,agtr2,nqo1,cenpa,arf4,ceacam8,cd34,aadac,adam8,bub1b,abo,htr7,acadvl,acp2,acp2,amhr2,arhgap6,abl2,art1,cdh6,asgr2,evc,gzmh,phkg1,abca3,clc,arcn1,atp5j,alpi,adcy8,adh5,calml3,acta1,copa,abcd2,ifng,gpr15,ccr4,flt4,acvrl1,rere,azu1
1,dlat,cnn1,cd19,clk1,apbb1,cd40lg,cd2,aamp,cd3g,apbb1,abcd2,slc25a20,ambncd8beef1d,calm1,adss,acan,ache,angpt2,ccr3,flnb,alas2,adh5,clc,alas2,acadl,calml3,fxn,adcy3,dctd,acp2,abcd1,adra2b,anxa1,anxa3,ca8,blk,acta2,ap1g1,cdh15,il2rb,ambn,aldoc,bmx,bmpr1a,adcy3,tnfrsf17,alox12,arcn1,entpd3,ache,ccng1,ak2faslg,chd4,il5,ctla4,gja4,actg1,cd1a,adarb2
2,atp5g3,cbr3,actn2,actn2,krit1,bmpr1a,rpn2,adsl,cd4,cd3d,bmpr1a,abcf1,gpr15,dntt,tor1a,arl1,cd1b,tie1,c3ar1,adm,aplnr,bmpr1a,atp5j,crhbp,abat,dsg3,atic,avp,atp6v1c1,atox1,adra2b,clcn7,anxa11,gp1bapf4v1,acacb,tnfrsf17,cd70,aif1,acta1,faslg,casp5,epha3,ca4,rhoa,col10a1,ampd1cd79aapoa1,arhgap6amd1,adcyap1r1,csf2,cav3,adh1b,bub1,cox10,gzmk,cd5,angpt2,adra1b,cxcr5,afm
3,atp1a2,actg2,blk,scgb2a2,abcd2,ccr4,araf,cd6,cd3e,casp8,adcyap1r1,faslg,ccr8,igll1,alox15,ccnb1,alcam,bmx,adora3,bik,epb42,adh1b,aplnr,ca1eln,adh1aacat1,bdkrb2,ahcy,amd1,col10a1,arsb,adcy3fdx1,fgr,atp6v1c1,hbdselphtr2ampl,dct,acrv1,cdkn1c,csnk1a1,alpl,gzmb,rara,acyp2agtr2,apaf1,actg1compextl1,flt1,bmp8b,apoa1,arhgap6,cstactskdsg3,cdk1cenpe,add1,bard1ccna2ccnf,cstf1,gzma,ccr3,acvrl1,cetp,blk,blk
4,slc25a6,col11a1,btk,fcn1,cd5,adsl,aire,cd28cd40lg,ccr7,ca6cd8bcd7gzmk,cd8a,dhx8,krt1,h3f3b,ms4a3,comp,c1qa,adsscdc27,alox15,f3,gata1,add1,arhgap6,crygd,acads,col17a1gjb5,ca1,azu1,cyc1,adcy3chit1,alcam,dnase1l3,bmpr1abtk,vwfkalrn,mlana,cxcr5cd1c,bgn,abcb7,copb1,bad,best1arpc1a,gng3,ceacam3,ggcxdctd,slc31a1,avp,gp1bapde6h,fgf7,gjb5,actn2,cdk4,cd2,lag3snrpc,il13mad2l1bag2rrm2,cd28,selehyal2,angpt2,bmp3,arg1
5,gpd1,clcn2dna2,cxcr5ms4a1,alas2,cd2cd28,ak1,cd5,actl6a,cd27,dsc1,casp8,acadvl,cox4i1,gapdh,ms4a2,csnk1a1,cshl1,anxa2anxa3,entpd2,sfn,art4,camlgftl,ccnt2,erg,adh1cadh6adh1bafmagt,aim1,fcer1a,crhbp,mmp17,alcam,c1qa,alk,c3ar1,rgs6clec1b,acp5,cd19,f2rl2,casp5tnfrsf8apaf1,actg1casq2,chrne,s100b,acvr2b,fcgr3b,cckar,bcs1l,ccnc,anxa7pf4v1,alcam,sfn,cdh15,arl1,cd247cdk1cd40lg,gnly,cxcr6,il2ra,tie1,anxa2,capn3,cd72alpl
6,dbi,bgn,hla-doa,defa4,ccnt2cd3g,apbb1,cd40lg,slc25a6gpr183,apbb1,cd27,cd3e,gzmh,myl1ndufa4ndufs5,idh3a,lpar4,col10a1,cacnb1,vwf,aspa,cldn4,amhr2,anxa11dpt,alox12,gstm5,agxtahsg,csta,cpa3,cd37aif1flt3,eef1d,csf1atp6v0c,tspoccl8,adcy3,c8g,gp6,cbr3,adcy2,cdh16,cd48,actn2,klrd1gipr,tp53tg5,atp1a3,cblcsf3rcasp5,dync1li2ap2s1,arf5,c21orf2,avpr1a,has1,gjb3,chrngampd1,actg1,,psmd3ruvbl2,smad2,ccr8plcl1znf236,clec1amapk12,rangap1,cd19cacna1fms4a1,adcy8
7,c6,fabp7,cr1cd22cd37,npy5r,cd3e,cd2cd4,capzb,ccr4anxa7,cd6,irf3,c21orf2,calm1,psg11,plp2,cd33,ak1,runx2,ap2a2,clc,dsc2,brca1,c7,cd33cd5l,flt3,aldh2,il1a,pccb,atp5j,ddost,atp6v1a,atox1,cd52,casp10,nckap1lrp2bp,cdh3trpm1,cd79b,bst2edn2,csf3r,has1,cd247ptgdr,l1td1,adra2a,cxcr1,nfatc4,gdnf,gabrr2,selp,ace,il1a,art1,alcam,,mnat1ncapd3,rras2,ppm1b,rhocbmx,flt4,cd22,clcn1cd79b
8,lbphp,aplp1fzd2col1a1,eps15cd80spib,arr3,cd6,cd6,slamf1,atf1akt2,casp8,ccr7,cd27,bmpr1a,htr1b,psma6,anxa3clc,erg,alox15,ap2s1,cebpedrp2bpi,ap1s1,ca1atp1b2,arhgap6,cpa3,pde6gsypl1,alb,krt5,fmo1,fmnl1,dvl1,abcd1,c3ar1,ap1b1,,tubb1,gja3,capn3,adora1foxd1,fcar,smad5,ctsw,sgca,atp1b1insm1,fpr2,epyc,cdk4,kcnn3,bmp8bbnip2sec14l5,aqp9,,mybphmyf5,adh5,,eif2b2,cdk2ap1,gpr25stamipcef1,sox18,slc25a6,cd37,agxt
9,plin1,c1s,bmp8b,ncr1adcy2,cd3d,ccr8,gpr25,eif3e,clc,pcnt,cxcr3tnfsf8,c8gcacnb1,,vpreb1oxa1l,cpa3,islrabcd1,cd1a,rhoc,atoh1,tacstd2dfna5elf3,rhag,atp2a2,ceacam4,pla2g1bclec3bpls3kcnj13,,aldh1a3sfn,gata1,cd53,kif22has1,cyp19a1,ccl22,glb1,,,nov,aqp8,aebp1fgbarhgap4,anxa1,aldoa,cx3cr1,dolk,ank2cacna1b,cxcr2,grsf1,ggcx,apoc3,casq1acsbg1,arl1,,myogart3,lgals1,,pold2,cep55,kcna2ttn,tek,art4,cd72,cntfr
