"","V1","V2","V3"
"Adipocytes",1.51129706066368,3.13335016156949,1.53686308832728
"Astrocytes",2.69751004876729,2.01509639386637,0.31615829253698
"B-cells",4.35512488342364,1.85647464443941,0.322861940599855
"Basophils",9.17525002705758,1.45081428918093,0.121113141638705
"CD4+ memory T-cells",7.82530769028545,2.21008225717428,0.306311663163357
"CD4+ naive T-cells",5.82537953229001,1.86816993438748,0.287154673006726
"CD4+ T-cells",2.35736980244142,1.84941647127339,0.489477599314195
"CD4+ Tcm",1.79476321425938,1.50247908781866,0.335584299681388
"CD4+ Tem",1.92137036377701,1.4692980587696,0.257446332454175
"CD8+ T-cells",5.13196207279019,1.79917557900586,0.264133690303693
"CD8+ Tcm",1.60836473733652,1.83592114546047,0.442718061100162
"CD8+ Tem",1.30823666058399,1.93552189569249,0.573782285551332
"Chondrocytes",2.51069890796465,1.85036054347867,0.462325489286454
"Class-switched memory B-cells",1.40251606297205,1.68925147623523,0.535960005670292
"DC",5.10070769475098,2.30970971638222,1.69387917824054
"Endothelial cells",1.50631420586312,1.91957090011264,0.738568707973863
"Eosinophils",5.71351981089367,2.10885986161157,0.590265303792165
"Epithelial cells",2.43475787758858,2.20428242646757,1.0582145692873
"Fibroblasts",7.40559961657864,1.40703700179515,0.127557199213474
"Hepatocytes",2.98104492461031,2.90048041825865,2.35915378372685
"Keratinocytes",1.80057587030768,2.57580275371643,2.29603929677312
"ly Endothelial cells",1.92107804732533,2.30957190289902,1.28027084794978
"Macrophages",4.81149864208105,1.98798590910915,0.362079518152881
"Macrophages M1",2.80849167068553,2.01889566587227,0.624856335533237
"Macrophages M2",1.59543834284058,1.86733095799985,0.496527109209544
"Mast cells",4.41320321230614,1.84287995571725,0.313748535806194
"Melanocytes",2.82201430735682,2.31040839807234,1.02284093877274
"Memory B-cells",1.36029599646278,1.81449208988338,0.557998363013065
"Mesangial cells",1.81241732036326,1.82855916885692,0.491114449560867
"Monocytes",4.17343047288084,2.11670547956941,0.531452715474879
"MSC",3.9667995393019,1.31763071077161,0.1394573894816
"mv Endothelial cells",2.89835304792495,1.88011834833305,0.406008033315787
"Myocytes",2.09465311309293,1.73438381313006,0.802749159773501
"naive B-cells",0.93444457890051,1.88000894594729,0.850346002083756
"Neurons",3.78253574682359,2.29262978866566,0.882152144798482
"Neutrophils",2.2948335478672,2.78371242992216,1.85194663150042
"NK cells",2.04580239144922,2.06897848217049,0.775729444008112
"Osteoblast",4.34304479429334,1.35688506242676,0.20301832078888
"pDC",6.19701582737223,2.30536141574953,0.448249863002877
"Pericytes",4.77779756734394,1.46352058824247,0.208110753667769
"Plasma cells",1.33068828292441,1.69639812211548,0.541553324656988
"Preadipocytes",4.49688121588829,1.51229969336855,0.173425313797516
"Sebocytes",2.03824479370521,3.07198034173644,3.12601860973123
"Skeletal muscle",3.48120315409463,2.49614366485197,1.02768624350708
"Smooth muscle",3.41820526027613,1.19065449094117,0.13081714425466
"Tregs",2.57655778627673,1.78479519454577,0.587051159832252
"CLP",3.35069622922042,2.22468543186886,0.176608670487748
"CMP",1.70274322628541,2.01762870749016,0.56439294621939
"Erythrocytes",2.19246851971304,3.23430249194431,3.20598472038716
"GMP",3.56959079496273,1.96019514300657,0.256137203726677
"HSC",6.85871512789302,1.7525792871455,0.214000394632589
"Megakaryocytes",0.540169848114847,2.44789162197403,1.87232899538888
"MEP",1.11395483704204,1.4502547136449,0.560970312652449
"MPP",0.932981456136709,1.93361101212874,0.972115464893934
"pro B-cells",3.20414666230392,1.99712285271848,0.308287372057249
"Tgd cells",3.20414666230392,1.99712285271848,0.320543431578853
"Th1 cells",3.20414666230392,1.99712285271848,0.256932630816455
"Th2 cells",3.20414666230392,1.99712285271848,0.273410387486297
"CD8+ naive T-cells",3.20414666230392,1.99712285271848,0.320437392580101
"aDC",3.20414666230392,1.99712285271848,0.29695586551947
"cDC",3.20414666230392,1.99712285271848,0.268898287294127
"iDC",3.20414666230392,1.99712285271848,0.309491941505419
"Platelets",3.20414666230392,1.99712285271848,0.33684199576521
"NKT",3.20414666230392,1.99712285271848,0.24128181099676
