Symbol,mix0,mix1,mix2,mix3,mix4,mix5,mix6,mix7,mix8,mix9,mix10,mix11,mix12,mix13,mix14,mix15,mix16,mix17,mix18,mix19,mix20,mix21,mix22,mix23,mix24,mix25,mix26,mix27,mix28,mix29,mix30,mix31,mix32,mix33,mix34,mix35,mix36,mix37,mix38,mix39,mix40,mix41,mix42,mix43,mix44,mix45,mix46,mix47,mix48,mix49,CD4.T.cells,CD8.T.cells,monocytic.lineage,neutrophils,NK.cells,B.cells,fibroblasts
tpk1,0.573595751277355,0.7937016310616416,0.28717360615832976,0.662983452316324,0.6959289303799547,0.5746180734835374,0.6378319547068563,0.6560210376780813,0.36529054432963687,0.8097954911204704,0.527411053058328,0.19552951059564944,0.7566108699606776,0.6970348359271424,0.5540810882665336,0.778985423010262,0.03880388989373037,0.5166611925610429,0.4146787944179257,0.19065760033718826,0.5798540140609583,0.7712909419798365,0.5830674410855409,0.38813185049300647,0.08297223989700708,0.13878715147688403,0.8949680983235511,0.5966190657577436,0.3391893069503642,0.730675448170292,0.17020810280727777,0.022755622099843012,0.4070104382031229,0.36081661123333897,0.25700199575253146,0.6679757262492378,0.9810375930980308,0.0664428483293552,0.34218126171060953,0.3585380394791486,0.676722446137938,0.6497443858077293,0.729448109123644,0.968817978153266,0.31216954255456786,0.730076221933726,0.4925633183952606,0.4773051360593514,0.1155274193736272,0.664254756026225,0.6494826463953574,0.7563124535875237,0.9931287475359792,0.8718729058674709,0.7504823640970306,0.003758087030524724,0.0027521749425938177
chkb,0.5470746110072466,0.965412720689112,0.6128377145258513,0.8528350784465645,0.8380314914650021,0.25977915282095276,0.5035592645899577,0.7874722464434125,0.312905119222912,0.6803647816928389,0.6901852816369429,0.2513230546587817,0.8971930105759357,0.5862889651147101,0.6168063717493351,0.7021381473044688,0.12467069582958529,0.3829572769017873,0.34480503763920883,0.19208967151007783,0.4235855032409357,0.7861761838901438,0.29820665696237597,0.22306812742576881,0.10200884231082141,0.2604115387758663,0.8288343674682992,0.08302503052037036,0.4186501523341033,0.8396611942707993,0.16448417057232995,0.03203706262014646,0.48622823067773696,0.6439425278740578,0.2688443205729597,0.77949793873231,0.4472038192811304,0.04337084842610075,0.32699918138131734,0.6651591031679794,0.582304354989933,0.28747529399318444,0.5044624789778073,0.9156422507758053,0.27828320183113076,0.6302295885952898,0.816218203144538,0.43276032939333586,0.30345034630521195,0.9081391683647122,0.7010252892142743,0.8815871760972451,0.8234877793850757,0.9008435086078317,0.9724085428382353,0.0028524980399742775,0.0028368246262858118
inpp5j,0.22032597013742944,0.9087242446683668,0.6926821855668261,0.5108748185134077,0.9268284965104508,0.35651835145317834,0.6613605494634633,0.8365293904171973,0.5218704776820295,0.9015512597762187,0.4208605416333123,0.203643711462837,0.5467559141934095,0.2596630703749052,0.714454551265838,0.9223273676218207,0.2056906267318937,0.5398335765926018,0.40284694280524075,0.38496092032671103,0.8720033750250509,0.749997012355349,0.3911094128966772,0.3294149519156405,0.10236157060753293,0.18701210010815505,0.8690185558700458,0.15099563883268602,0.24686119072405388,0.5287130753378849,0.20547016115789457,0.01828834209567745,0.41010590369149796,0.3419733171352227,0.3904329560140115,0.7572614521819736,0.8549890745827057,0.0443135733089192,0.20477237139287918,0.24023212873028993,0.8714424980175787,0.6078175462737293,0.40225897167511293,0.7287815714540131,0.6792921575088384,0.5613480588486482,0.6948401205106386,0.7709053717623557,0.13212386658466402,0.6605457279627276,0.7977078515280711,0.9346799003816904,0.8160270764161308,0.963452993543055,0.6429359787858595,0.0033345324263829544,0.0023289529915274786
ucp1,0.4693349995470166,0.7235523481781659,0.46525966752505343,0.9451070896715018,0.709809718628019,0.2572565558558524,0.7301634013977347,0.7811010347830941,0.33264569732766763,0.6538291943221952,0.3452993172530814,0.2183179860625401,0.7531281467004082,0.5429191609297169,0.47150744834972547,0.9252088412681841,0.5412001158259951,0.6462331502857657,0.4380613684375382,0.20946695197317622,0.5868236576273295,0.9455938895305465,0.5107568656045026,0.28519164622441473,0.08480385206206559,0.135755649771874,0.8489773895405797,0.6525685585101342,0.250290760179197,0.22084956399075384,0.1100712605587621,0.017901852687171285,0.34691828343920295,0.43081909279540576,0.38043688156499395,0.7470847945726791,0.8502764601422631,0.0413678517713895,0.432345773156215,0.5185344668532395,0.5674594656340961,0.5853945378718471,0.754567718878975,0.17399167185937614,0.517831569078908,0.6719289513422718,0.8180428900155131,0.7297724822720191,0.09247616024730343,0.6558061133944117,0.8563481720557218,0.9019555505980716,0.8354077276662946,0.9789186657949139,0.7814407629107195,0.0029295654881031515,0.0023520507993721133
mica,0.2813257658595596,0.6702545428439945,0.7941658895733457,0.6801797566563754,0.8057216010625718,0.4092956129455041,0.5106773126259941,0.6260807463964883,0.5791974643913149,0.8855456536580801,0.1671315802265439,0.3499112694438188,0.7379959280337852,0.21944743419059526,0.5920247472912169,0.7744526623793535,0.5148898718532249,0.8957692496285454,0.3771939951686801,0.24062851383307526,0.5787480995771523,0.8871613390520645,0.49802270172168,0.17899047020691222,0.14077841150925297,0.35163620228004294,0.7824802113641618,0.2680418456336935,0.7101561252849571,0.35154573062288497,0.11798346959771977,0.025532189672039178,0.3715157464909736,0.5461286723346853,0.20839064286530962,0.8644205699306311,0.5380732017213206,0.05304683009368788,0.27601001970263395,0.2859423806394349,0.47651934933864026,0.5236525683552817,0.3923043880655211,0.5205195475436439,0.24814419473085786,0.7741283241458214,0.9943333877125288,0.5203524855988654,0.23576890863653216,0.9475732673705495,0.6858334472039949,0.9909261538246334,0.7340595417321776,0.9089870698468776,0.5847683974197512,0.0036979174606340142,0.004500984165975453
nrxn3,0.30804520836134874,0.7826856208456112,0.5569382580150796,0.5981390441929932,0.6196207542276396,0.3944128704262875,0.8317256935868742,0.7625187411495971,0.5641370509317709,0.6647759827680438,0.3222213619108619,0.10441606091137584,0.6736764739726824,0.6825176681035375,0.8489325071077907,0.9533827525291234,0.2966132318859701,0.7313996120225211,0.486181529347521,0.06797092091125251,0.4856136807992117,0.9672532817729287,0.463147444185195,0.2379724573281808,0.03407464210797387,0.08331567415334817,0.7706712489967179,0.2860378645174467,0.7952649918625194,0.4615959247374751,0.12930168412583087,0.028663315727585334,0.4096890753836521,0.6305988826871733,0.20031515949296602,0.7742741299736193,0.5118178507956856,0.06467402686776272,0.1835268911882183,0.7181878974527995,0.8439981445456268,0.5872840138538623,0.31784351281541,0.6371817938862414,0.4066912673330445,0.5306328929093516,0.865421394026336,0.6210867720825921,0.34771130866860833,0.7711253546301793,0.7832052016780571,0.9045044117849359,0.8577734532755603,0.9121235322713566,0.8275125983717267,0.0031807454069291453,0.0028632390044257944
flt3,0.5313762212813014,0.5195656103417493,0.2842277738882276,0.5007928346286192,0.40074725561447466,0.4718811298385457,0.29703114649900453,0.6963711117732179,0.3358663064635404,0.7180666150681366,0.5209780591812135,0.4670654689819278,0.9537884980793825,0.9789252674658185,0.2353452455610266,0.6075124086773633,0.2211846607643161,0.3053220931927243,0.22483516519749747,0.35228645999298647,0.3528290018677031,0.5444108170879569,0.5393754287192039,0.6231157695301555,0.26301951859849915,0.2527385019559294,0.6845996263331637,0.9516717128387441,0.3412195536727878,0.6598806956240624,0.5253598991799578,0.1866481105002667,0.20148351420620703,0.3135830807104655,0.21194965135932448,0.6716442419837839,0.9967673399661586,0.27149249321220736,0.34173189531342074,0.8086135794774421,0.5832630797715412,0.5726161978376886,0.20660010790818212,0.9134006517677522,0.22339457336344742,0.36817614145708116,0.274678789132668,0.42747007336798243,0.26231016510822774,0.6755647353798196,0.26857858666726836,0.27543682067342035,0.9999986767636058,0.2739419237658458,0.2573301849613996,0.11836300179003406,0.11757138953042484
actn2,0.15191211026610635,0.9088724352222689,0.43797325455490344,0.7684597365945156,0.8406449034610792,0.4977370262524004,0.31835216596155863,0.754088059589475,0.5902953059541668,0.621379332400317,0.6256456542000018,0.24036831157211752,0.7955320304652475,0.7345365866746545,0.5358485253434664,0.97734419796951,0.1832409839427669,0.9228673353292851,0.46107061875255695,0.43527616081234927,0.2944364571717475,0.5805350108547905,0.18332023780105705,0.445103571390547,0.06362670983701925,0.09932616918582227,0.6858961963402672,0.13075314464362786,0.5288254157584312,0.7666428537754391,0.1002797760529226,0.022081948830663375,0.5828387363275476,0.3876666181281574,0.295693154521663,0.9197860331865086,0.3143102333810001,0.07369005884722471,0.26591463064524384,0.7512073538082522,0.6369801791332175,0.6437427807071858,0.24312347834793668,0.6049822906486402,0.3987568179143334,0.7686168507107538,0.761617601854945,0.6676673883238105,0.4670354630980124,0.6895954069760424,0.8875771320890613,0.8407072219727807,0.77898805651747,0.9472978322950025,0.8490938430787479,0.0024547596779832216,0.0027062407188120858
ighv3-73,0.2779016274057874,0.8389905127544892,0.6541393284931799,0.874260713437146,0.6112806676435242,0.4449400373576105,0.670875672989856,0.3755530884788549,0.40320109071614585,0.649803660503002,0.4929323137283614,0.5069938950587489,0.6224529852553977,0.7116390818461569,0.6493369458616185,0.901628045445273,0.17356989834796765,0.6626883066606621,0.6444956439554057,0.19236351774624444,0.9604294162761225,0.49129226536227166,0.421382681108688,0.25948806340815167,0.05712250530075533,0.09134290494271152,0.7255989443384115,0.08596887484841231,0.4528887191489447,0.8031238224184427,0.21377403135113276,0.015575875857839906,0.31035839331789183,0.599339379068788,0.28869886080610996,0.6855940235981038,0.6462337471762427,0.07189827158378943,0.305018161488844,0.5264835167000187,0.9155816823063623,0.26751960493404203,0.36706917530367356,0.7204651262234015,0.460714696429102,0.6435610651186315,0.9398438973721898,0.6564386112163854,0.12332956038548415,0.6642003834551179,0.8631571964739548,0.8593905328853552,0.8893076295887228,0.9787362361996913,0.6871607290067261,0.00497019855911326,0.0021561063662744687
smo,0.44959180606125837,0.9371194236664236,0.5200630356534631,0.47656323397579425,0.47536193885530265,0.41304919510697635,0.5740260817123427,0.6495728554610998,0.2800809882978953,0.8271844956720268,0.5680251526682822,0.3501057891071647,0.7565637248397927,0.7744522245817727,0.5299234699063364,0.9086415536953454,0.2332444619603567,0.9440461245002313,0.7689321449582404,0.3429432223461636,0.9377931812269265,0.9056185198059802,0.5122212702162195,0.1929358290670654,0.12241064080187203,0.12901940188898176,0.57048375386509,0.19060231455348853,0.44752762589952266,0.49480741921362864,0.2683907618003917,0.020586302002043158,0.2915303109952861,0.8146958210196091,0.19863347711322782,0.6031581665749961,0.8418366970073121,0.04971554511116725,0.18704288506135092,0.4613630009844147,0.7564432051238317,0.6721692513531908,0.2961030714424013,0.4612219787539832,0.4232549756141908,0.33956728087101073,0.42696707057744276,0.5684051640454151,0.31806862515532064,0.6385315005530715,0.6594073457928156,0.8211578710720071,0.8768544224863992,0.9977512902969543,0.5655035354231289,0.0028426988400809933,0.0031735723451757113
