,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell23,Cell24,Cell25,Cell26,Cell27,Cell28,Cell29,Cell30,Cell31,Cell32,Cell33,Cell34,Cell35,Cell36,Cell37,Cell38,Cell39,Cell40,Cell41,Cell42,Cell43,Cell44,Cell45,Cell46,Cell47,Cell48,Cell49,Cell50,Cell51,Cell52,Cell53,Cell54,Cell55,Cell56,Cell57,Cell58,Cell59,Cell60,Cell61,Cell62,Cell63,Cell64,Cell65,Cell66,Cell67,Cell68,Cell69,Cell70,Cell71,Cell72,Cell73,Cell74,Cell75,Cell76,Cell77,Cell78,Cell79,Cell80,Cell81,Cell82,Cell83,Cell84,Cell85,Cell86,Cell87,Cell88,Cell89,Cell90,Cell91,Cell92,Cell93,Cell94,Cell95,Cell96,Cell97,Cell98,Cell99,Cell100
Gene1,14,0,0,6,3,5,3,0,4,6,2,1,0,2,1,4,4,1,0,4,7,5,9,3,4,6,0,14,0,4,4,0,3,11,5,7,2,16,3,0,3,14,1,12,10,23,1,2,0,6,6,0,0,11,0,26,17,5,7,2,0,0,0,3,0,22,4,0,4,4,9,7,7,5,0,8,1,2,1,0,0,0,16,1,3,6,4,2,1,1,6,0,6,0,1,2,0,2,2,3
Gene2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3,3,27,0,2,2,2,10,1,0,6,6,0,2,0,0,0,0,26,0,0,0,4,0,0,0,1,1,9,0,0,0,0,2,2,0,0,2,0,0,0,0,44,0,0,5,0,0,16,0,0,0,2,1,1,0,3,5,115,0,0,0,29,0,4,0,4,6,2,2,0,4,22,15,19,2,0,0,3,0,2,0,12,1,0,2,0,2,2,0,0,3,0,0,0,0,1,1,2,0,0
Gene4,5,3,0,1,3,0,1,0,0,5,1,9,0,0,0,0,3,3,1,0,4,7,2,0,0,0,0,0,3,0,1,0,0,4,0,7,0,2,1,7,0,19,0,4,0,1,0,3,1,7,0,1,0,3,0,4,0,11,3,1,0,1,0,0,0,1,4,0,0,1,0,7,10,3,0,0,1,0,0,1,0,3,12,2,4,0,1,0,1,0,2,12,1,0,3,0,1,0,0,1
Gene5,30,11,6,2,1,1,10,0,3,10,10,6,31,16,4,1,0,4,0,9,4,0,39,3,1,1,3,16,0,8,6,0,9,31,12,6,4,0,4,4,2,14,28,19,9,2,0,15,8,2,3,0,1,0,0,18,7,17,2,3,2,0,11,0,6,5,9,1,1,32,3,9,31,2,1,1,0,3,0,0,3,2,39,1,41,0,19,0,8,3,6,0,49,0,2,8,1,1,0,2
Gene6,1,0,1,2,1,0,2,2,0,1,0,0,0,0,1,0,3,2,0,2,2,0,0,2,1,0,1,0,0,0,9,1,1,0,4,0,0,1,0,0,1,6,0,2,7,0,0,10,0,3,1,0,0,3,0,16,0,0,1,0,4,1,0,0,0,0,6,3,7,0,0,0,0,1,2,0,0,0,0,0,1,6,7,0,2,0,9,0,0,0,2,2,0,0,0,2,4,0,0,0
Gene7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
Gene8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene10,41,0,0,4,1,4,2,0,17,4,69,0,5,3,0,3,4,0,5,0,3,0,6,8,8,0,0,0,0,0,29,1,16,7,0,1,2,3,16,0,9,2,0,2,7,1,1,8,17,0,15,1,0,4,5,7,1,14,25,4,20,0,0,0,0,18,0,0,26,0,8,0,4,0,0,2,0,1,6,1,1,1,34,0,6,0,2,0,27,0,20,3,2,0,3,0,2,0,4,0
Gene11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene13,0,0,1,0,1,0,0,0,2,0,0,0,7,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,2,0,2,0,0,0,2,0,0,5,1,0,3,0,7,0,0,0,3,1,3,0,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,3,0,0,0,2,0,2,0,0,2,0,0,0,0,2,0,0,0,1,0,7,0,0,0,0,0,0,0,1,0,6,0
Gene14,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gene15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene16,0,2,0,3,0,1,1,1,5,34,3,0,2,4,0,0,6,2,0,24,1,0,11,3,0,0,0,1,0,27,1,1,86,0,0,0,0,0,2,44,0,24,15,1,3,0,0,0,2,12,6,1,0,1,0,2,6,2,9,9,0,0,1,5,0,1,0,0,5,26,0,0,7,5,3,0,6,3,0,26,0,0,10,1,1,2,9,0,0,3,3,2,0,1,1,9,1,0,1,17
Gene17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,5,4,0,0,0,0,1,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gene22,9,2,0,0,0,0,2,1,0,4,0,0,1,0,0,0,6,11,1,0,1,7,0,0,0,4,0,1,0,13,1,0,1,1,1,3,3,3,4,0,1,4,0,8,3,1,1,3,3,0,0,0,0,1,0,2,3,4,8,3,1,0,1,0,0,1,1,15,0,0,0,1,1,0,1,2,0,0,0,1,0,2,2,0,1,0,4,0,2,3,1,1,3,0,4,0,0,0,1,1
