# raw enrichment scores of all data
# no scale es by numbers of genes in the gene sets
Term|ES	SUB134264	SUB134282	SUB134283	SUB134259	SUB134285	SUB134266	SUB134240	SUB134244	SUB134242	SUB134286	SUB134257	SUB134274	SUB134288	SUB134275	SUB134237	SUB134256	SUB134315	SUB134293	SUB134287	SUB134304	SUB134297	SUB134325	SUB134312	SUB134290	SUB134322	SUB134276	SUB134300	SUB134323	SUB134289	SUB134260	SUB134238	SUB134295	SUB134254	SUB134262	SUB134318	SUB134308	SUB134296	SUB134294	SUB134272	SUB134281	SUB134301	SUB134280	SUB134321	SUB134273	SUB134248	SUB116449	SUB134251	SUB134258	SUB134309	SUB134267	SUB134261	SUB134310	SUB134279	SUB134307	SUB134249	SUB134241	SUB134252	SUB134243	SUB134292	SUB134326	SUB134298	SUB134242.1	SUB134283.1	SUB134278	SUB134281.1	SUB134259.1	SUB134297.1	SUB134320	SUB134309.1	SUB134308.1	SUB134296.1	SUB134295.1	SUB134315.1
Astrocytes%ENCODE%1.txt	-1368.7959225153975	-1163.7475663594157	-1333.043378392453	-1325.212309584525	-924.1854947445718	-1401.0521597157249	-1083.088810367617	-1052.3614299289377	-1053.0203834331242	-862.3850370791985	-1337.2839978622428	-1384.0339074556425	-1028.8770156555804	-1239.2591691595273	-1300.9055991298023	-1044.5643965650122	-962.4513177732618	-775.8116290029184	-1205.2421410843715	-1093.0981720026741	-1437.491743610629	-1327.2498914131354	-1241.5133495874775	-1338.9939997196223	-1517.8739488423319	-966.5225037382727	-1331.874546876624	-1440.3304956922907	-1538.9851486354073	-1166.1172958644686	-1016.0742830084472	-1315.1204567480697	-1380.6916495647201	-1396.8917581843282	-1274.28019608189	-1323.6600148582993	-1051.4003769091362	-1315.5302374434466	-1323.8683019035886	-1077.7941332853788	-1101.4507780358722	-1314.771752005183	-1322.7699012309179	-1094.9668234666888	-1370.567977794238	-1232.940155214261	-1307.7185244903415	-1489.4837381656403	-1348.5531713321989	-1462.7892864207936	-958.8237428348835	-1464.2866771010388	-1351.7877977661958	-1388.6482136795419	-1333.3583757036279	-1417.8980581172978	-1382.0855719902554	-1276.5733273009282	-1407.3547968322432	-1572.7017665717633	-1298.7187895449085	-1370.8217171702615	-794.3665850442786	-1122.036428919668	-1384.8412996570337	-1376.132235075038	-1353.6422662896853	-1334.311977204345	-1127.5377103124665	-999.1549926869601	-961.332541351569	-1269.5259338081066	-1145.2676079613434
Astrocytes%ENCODE%2.txt	-1591.987339055382	-1414.7377450146976	-1731.9392338399766	-1769.486898625264	-1330.9788670242835	-1693.411271658029	-1184.8771915885009	-1422.3808706225318	-1323.2276844482749	-1162.5160228430946	-1566.409819541255	-1499.6413644593242	-1330.8067127655158	-1455.281031828956	-1463.1194442264218	-1143.385224418031	-1452.950093823767	-1145.2270637159204	-1443.5662908848374	-1377.7865848412328	-1621.8221787093482	-1591.4694734917728	-1497.8032371668755	-1406.3786566753545	-1484.1362208942915	-1279.7287370581028	-1685.9685449568185	-1663.831556851016	-1797.859600852347	-1661.8844632062069	-1180.8098272243326	-1348.2250170488203	-1605.8286875271626	-1677.2098650865105	-1581.1233266349857	-1677.5763594464122	-1337.029272471877	-1514.3639298153735	-1463.8166698706164	-1402.0601186663355	-1451.6244946021943	-1578.9603980792865	-1607.5360560035872	-1339.6766066387002	-1618.7597063855274	-1467.3063803472799	-1477.9099846179352	-1778.8976326701543	-1569.1508144909446	-1464.245316125308	-1281.9635349999025	-1581.7507242074432	-1555.9435251145874	-1563.0548760161898	-1594.6026882565188	-1559.2093680068676	-1631.8548449945404	-1487.1864245280938	-1719.067404694249	-1639.6685789073917	-1585.1308444697947	-1563.303324461169	-1343.5424491266851	-1521.073529814092	-1541.3551822998816	-1709.6602410064986	-1527.2843953359686	-1543.285039995203	-1366.2074413828561	-1365.7176037106979	-1325.4713140472531	-1411.5581197924396	-1074.0209417738895
Astrocytes%ENCODE%3.txt	-1938.6264131061325	-1577.9347149068442	-2043.908077876007	-2187.9091504882913	-1435.6837795507731	-2144.093148823428	-1584.1326808516685	-1614.9265527259383	-1837.7631306063952	-1613.624073081584	-2064.876995161065	-2034.1811602173884	-1460.2567828740434	-1734.275642914091	-1846.957495739074	-1781.7083722020357	-1816.6971014489473	-1624.6674505403876	-1743.0559549882407	-1516.7952424854404	-1862.6191493532701	-1991.7218733270172	-1769.9402687233226	-2171.192748908943	-2089.0263530037655	-1404.1178182620656	-2027.1342445604269	-2203.8941079591223	-2159.323109497147	-2020.878046329116	-1486.0344190486628	-1606.186599915106	-1975.9744150400436	-1828.717842934367	-1837.1661586325586	-1882.8984801841805	-1609.6493170885074	-2017.4802707017311	-1584.7360528920437	-1500.8236937970696	-1897.6319493928786	-1872.2483469317835	-2033.0441927181478	-1837.1575999079396	-1875.0391366416272	-1773.4991482398311	-2092.983858210222	-2203.205274180217	-2021.54665773095	-2120.86466719771	-1283.5680889690966	-1789.663506666656	-2067.463982639945	-2296.560024853836	-2098.437216522189	-2095.7019046185683	-1948.8720652362192	-1864.6655141437118	-2109.3333175897214	-2001.9488466058572	-1800.576119901766	-1735.2677059089597	-1449.118040265804	-1538.705561689761	-1823.5269334139605	-2192.938306456503	-1563.9226586459467	-1838.2249956217265	-1604.2494287088027	-1501.1271884238388	-1614.7245164555463	-2008.3470089090251	-1824.3629528495658
Astrocytes%FANTOM%1.txt	-1212.1297822799686	-1138.7712740895047	-1131.3872938295103	-1233.7149203853749	-1027.9857583372047	-1394.9188948465817	-1171.873773678724	-1013.7685839435234	-1168.8189064354522	-1038.2856477599437	-1236.63784078959	-1474.3891214525058	-1192.7016055733525	-1447.9569675979699	-1497.585117846375	-938.5012637071175	-799.4749238481703	-851.3147588009091	-818.1893265675031	-1104.7628599473758	-1455.201283891749	-1145.9520398343564	-1466.3149284516544	-1195.107336270999	-1377.8920929421295	-1020.3798570049632	-1089.1730159658684	-1291.497448901989	-1021.2131507875716	-1255.7689692642668	-958.8992693129588	-1092.6052131842994	-1193.1102810247037	-1170.8362543845794	-1303.0401813499009	-1195.598485401722	-1085.5171580348958	-1105.216980793389	-1131.0346346878707	-1227.446984813285	-759.6219755677369	-1194.9883037127925	-1387.917954438706	-1068.6325146255554	-1093.1434278029374	-1482.4313455343126	-1334.764045415885	-1253.1340697261674	-1477.6083787792215	-1364.4109266459775	-1062.7879096029658	-1210.6997087147795	-1321.5751494765982	-1165.2609790627307	-1307.0661449269878	-1279.1100709371776	-1371.3133296520432	-1213.580297134487	-1229.1108396322572	-1283.6951284973518	-1181.6171475051292	-1530.7855081403036	-542.5609833358848	-939.9030661646887	-1137.8851971221836	-1235.9908523261563	-1483.4072463592636	-1134.530730085085	-1190.0127377729348	-921.7187325205981	-915.996306621668	-1073.5782309278518	-811.5385601344417
Astrocytes%FANTOM%2.txt	-1209.081911860685	-1071.9187871243835	-1035.73052121079	-1208.1943805397468	-1004.4108897333723	-1435.1428712492182	-1257.6536784006785	-920.0905511730622	-1254.4800436104265	-1011.1438243387067	-1207.2652758823483	-1708.5653503998494	-1244.0800177435208	-1483.2366315737358	-1536.4817929116077	-859.2317611666571	-603.6792683844299	-768.5352544073426	-781.4019405718493	-1089.4404321225784	-1492.0270857029523	-1141.265263182726	-1483.987966292592	-1120.123854457327	-1290.1907334583398	-960.4785369395693	-1069.1367292265095	-1280.7885505898719	-959.4660862181361	-1321.8821188043496	-913.4348975877376	-1048.3229634438387	-1216.700978936048	-1193.9983630763418	-1251.3612108959524	-1158.0467898372683	-1197.3441492177515	-1052.1314930614285	-1231.82491387175	-1238.5302859067492	-727.3019805655518	-1211.0788360800182	-1441.0667671274982	-1029.3301159417608	-1023.4233180335284	-1439.0552361352065	-1384.989767941233	-1293.381851448951	-1548.6724304148017	-1219.0775015579702	-1101.4154240731787	-1196.6456627141745	-1315.2504851558251	-1108.34500003459	-1366.1544015185598	-1362.730764857616	-1431.696419890613	-1252.2558317547482	-1237.8450750319303	-1245.6632107754504	-1156.3895932367566	-1673.0807947858898	-427.66467792826626	-912.5646694141647	-1030.8646823751412	-1226.0034042582106	-1508.6003202173083	-1154.5862563294156	-1308.721822798285	-824.8877483211619	-887.1603364210288	-1018.9220268451045	-773.1842246017
Astrocytes%FANTOM%3.txt	-1483.1021225071443	-1350.363429156946	-1385.892948204117	-1481.0029958233627	-1229.516680858725	-1686.7199156902348	-1431.9939736011718	-1189.9516092420522	-1419.903349128498	-1253.5771527490308	-1483.3594108553973	-1833.7747046942527	-1438.4998467506387	-1705.5858286352734	-1784.473250966523	-1177.1373112394947	-908.9383974311976	-1017.4344673319542	-1108.995644716922	-1315.0712741572024	-1684.989723338386	-1382.2756077491883	-1730.107509301473	-1467.2954381513885	-1614.1869978819511	-1233.7792804458113	-1265.5825655297813	-1535.3585599167525	-1262.3225851085665	-1544.4020985995508	-1167.6059310490912	-1288.325616037837	-1428.1941574544464	-1388.954534701742	-1535.0515529916552	-1457.0413526699938	-1429.8218809518046	-1360.326816580062	-1375.751097436327	-1455.8124146013856	-939.7057328025145	-1407.538344131765	-1720.9331825934905	-1270.0126986084767	-1309.4066376001447	-1698.9578046314484	-1618.856432700169	-1489.8711594988902	-1751.495222499031	-1562.3456320263942	-1259.7498987959855	-1478.6692941927975	-1588.266032271244	-1395.0378239127201	-1530.858861694624	-1578.9086089685225	-1654.1828062771265	-1487.7829664865853	-1452.6683135037863	-1503.5123095675917	-1391.0303351193788	-1805.2149964375385	-732.9579278291459	-1160.7233543971872	-1367.8268659624957	-1468.1510735744178	-1728.6025300741912	-1388.671396151848	-1510.4224966476354	-1152.7001018751307	-1161.2824614314648	-1288.1512895025255	-917.8974474381125
B-cells%FANTOM%1.txt	1388.8019343961719	1200.2914071070104	1700.7826078779678	1373.344617480303	1333.5869121793842	1956.7251725686126	1972.6579926349136	1326.860217436908	1850.2722078947709	1241.1696921875812	951.9555638808718	1081.4871168156446	426.91595330790534	923.6700218279124	1883.936501319067	1201.0511402453571	1095.018431876947	1725.4997753340444	1027.543715745594	2075.1731206961344	1695.5175421279353	1565.571962802502	1997.1119052466115	1561.4802877512286	1736.1122207804551	948.9911457224606	1700.8109123609606	1784.1846282563226	913.5546098797773	1621.851873315477	1225.7535877898345	696.2027711589772	1194.5973223968451	1340.555683118731	1819.0947167503937	1984.8549414254476	1180.546955293244	1405.7280831140913	969.2213931903568	1270.9850935194254	1396.1450457371566	1473.3307581852596	2063.2086464901995	1471.3657545145156	1502.7141915350894	1626.2031895177838	1611.484703011308	1004.4111561334317	1360.9766902021822	2215.5770021093585	1373.3056073652679	1106.584000072511	1456.0510791960621	1820.883296375204	2091.2246000933287	1376.4441457400735	2137.272294648297	1674.6987482989261	1972.7094562194716	1756.4413292095949	1050.1163039653363	1906.1776390330942	1898.7726616780421	1422.6148484809091	1204.1530684302859	1617.2504850421242	1840.1578459959496	1402.574994878121	1749.7588630406724	1630.9173339985873	966.0325588596897	1330.4636045764848	1046.493039633974
B-cells%FANTOM%3.txt	1080.2945424311595	961.3079544538789	1295.6266314745685	1098.9578937199553	886.7014407501191	1594.8958988057661	1550.6842881480354	935.5871207295165	1370.7322071956241	993.6470250156387	748.9484328041538	916.0392278820879	331.8847784875441	746.6984232188473	1497.7928385598107	1013.7171510797314	815.5381421499961	1245.9412395254933	783.9984243359343	1593.9488397960777	1387.9825281959247	1226.5398242166302	1629.7853223764405	1181.0175025202705	1285.097887966559	748.0658820070482	1303.579037414728	1384.7747274084281	664.0084650511408	1223.559251926869	874.4277156641808	566.2403386358271	931.8242435743127	1058.214923999381	1434.7440021048915	1514.8437993680654	951.4407607264419	1149.0714052573533	746.0916267395861	1008.9762417029208	1072.5614094350801	1188.2577859893493	1630.4287094809893	1173.8940285259773	1181.2916148711186	1289.0392295978593	1295.425203135354	846.6395512640628	1067.111791201537	1756.910197543599	1038.1240172514242	872.0380704648637	1210.9354342360725	1515.635547221068	1637.8871794995644	1096.1907082023172	1666.620021970448	1402.345477698008	1564.7175011615582	1375.8489380840938	857.6418951805695	1513.7992039338162	1464.8443845155255	1115.5592830734813	909.2077302485027	1289.028232652344	1491.5521004904595	1060.834975384465	1344.2785331006341	1283.777194865015	760.6079086034714	987.1938809462042	766.6915130344672
B-cells%HPCA%1.txt	881.1337277783994	917.4032216965354	1002.081984042604	916.0141540991797	699.5028214748046	1301.402042356061	1144.8690721311698	736.2881515312051	985.0094222279018	794.8292087542434	755.950567074498	859.6786214341133	647.5671927289573	754.2271560364172	1248.9094172294288	934.2033624159963	658.3906442130341	998.2399664292251	789.6261963543088	1233.5461534915084	1179.81520056502	969.02185309807	1235.8164382998482	971.9659543406673	905.5845950184498	706.98198720507	974.4688271600058	1140.7051613750084	615.0069259286165	871.9684499096534	912.1049002814585	512.9032778686077	891.5678413371598	954.7883574177098	1097.3107803270404	1266.7268170371	872.626736587013	915.0393099027336	684.0821106150072	802.1817375341348	839.1890948935744	943.6303010275565	1256.2247433842365	977.1344823445526	1053.5016290299336	960.0463635865123	1025.9964694126973	889.5246476661242	965.7837210714113	1371.933376344942	892.8667891915419	719.1626024936622	1034.533938904307	1210.2219681698784	1181.9430937855043	938.6854637776667	1317.4160388657533	1072.7057394669723	1087.6256120082978	1126.670170015253	877.4346772334616	1188.0031976451687	927.4310466662773	858.1756677156042	902.5202306553545	1001.1816227938364	1138.09518996673	929.8406995398301	1012.452255531615	1004.5775265881123	703.7648186749058	835.9768791317355	633.4868674026429
B-cells%NOVERSHTERN%1.txt	316.3414114227727	280.56153444725885	568.7051910531738	232.72877861875813	258.92221240522383	632.5379750575693	660.3394029345756	374.8069482801957	562.6315426557115	284.28371904512363	58.25810889428188	3.6254274312924117	-305.5464945991259	-22.239456572076165	532.7338261399789	118.59448554377266	77.3699904382003	653.4369382395028	118.2169383163891	597.5813919116047	341.29285451298165	569.2551908338511	578.6746250082466	334.94506089483895	526.8232786366535	11.143421641184581	437.7439127805892	613.5919885431908	-146.9179586034512	343.0551674744956	280.10238007607524	-9.117277747275153	155.3239355006371	232.34952470061916	525.8891809524998	688.0100179439002	-26.5760338330344	275.2941652418037	105.923833463907	129.99984200583305	456.18170604809507	409.9958736084647	723.8225846390835	263.9206897053206	548.45560994881	475.9050732570037	316.1263424313502	161.08760607455088	336.2986177451005	558.4796528587709	366.503355608656	142.8151030112144	358.28786853901096	594.1332508986384	675.1480144983394	120.39200803219518	841.0356410453793	431.66387219842807	753.6750561216479	545.011518689564	185.69951061518677	770.4585766643372	801.3558008920065	348.203648674955	172.3624998003381	510.77942381156765	532.2592473880167	350.79256032341164	573.5962054855112	650.5576618469129	130.57897021526787	332.36507102218985	419.7855635297395
