,mix1,mix2,mix3,mix4,mix5,mix6,mix7,mix8,mix9,mix10
AL627309.1,0.014551802,0.026328615,0.015363016,0.022960475,0.020566177,0.014551802,0.026328615,0.015363016,0.022960475,0.018613588
AP006222.2,0.009188196,0.005903571,0,0.004334136,0,0.009188196,0.005903571,0,0.004334136,0
RP11-206L10.2,0,0,0.009458996,0.004027248,0.005348128,0,0,0.009458996,0.004027248,0.007391994
RP11-206L10.9,0.004571443,0.00789217,0.005801784,0.00584851,0.007766738,0.004571443,0.00789217,0.005801784,0.00584851,0.004756964
LINC00115,0.02264124,0.023253831,0.024842093,0.011785243,0.009088263,0.02264124,0.023253831,0.024842093,0.011785243,0.034893899
NOC2L,0.47747007,0.365384429,0.477487466,0.445027017,0.497588865,0.47747007,0.365384429,0.477487466,0.445027017,0.429243277
KLHL17,0.007555425,0.011511758,0.006792858,0.004065057,0.005398338,0.007555425,0.011511758,0.006792858,0.004065057,0.005308466
PLEKHN1,0.01778833,0.021597847,0.005889243,0.005936674,0.007883818,0.01778833,0.021597847,0.005889243,0.005936674,0
RP11-54O7.17,0,0.008897494,0,0.002364838,0,0,0.008897494,0,0.002364838,0.003743103
HES4,0.304719757,0.465431258,0.40433186,0.383857701,0.824061458,0.304719757,0.465431258,0.40433186,0.383857701,0.512701998
RP11-54O7.11,0.00490918,0.005547096,0.014098232,0.007622271,0.013973058,0.00490918,0.005547096,0.014098232,0.007622271,0.002247964
ISG15,4.374569048,7.208963939,4.584748764,4.605038909,6.070769054,4.374569048,7.208963939,4.584748764,4.605038909,5.174241708
AGRN,0,0.036551359,0,0.006205649,0,0,0.036551359,0,0.006205649,0.007666081
C1orf159,0.035075307,0.051032884,0.038258754,0.051577472,0.023836266,0.035075307,0.051032884,0.038258754,0.051577472,0.035650969
TNFRSF18,0.147412222,0.057984504,0.08114016,0.104409996,0.11005522,0.147412222,0.057984504,0.08114016,0.104409996,0.078931934
TNFRSF4,0.419361119,0.09677903,0.115967058,0.136627162,0.148039122,0.419361119,0.09677903,0.115967058,0.136627162,0.192059267
SDF4,0.461937368,0.413504352,0.41665421,0.505268038,0.443080491,0.461937368,0.413504352,0.41665421,0.505268038,0.489029912
B3GALT6,0.114799488,0.122287014,0.116499598,0.086947942,0.098467458,0.114799488,0.122287014,0.116499598,0.086947942,0.097130361
FAM132A,0.00483559,0.009987336,0.006438868,0.018369325,0.015774612,0.00483559,0.009987336,0.006438868,0.018369325,0.018406191
UBE2J2,0.521682743,0.44859527,0.435739251,0.558601939,0.455060584,0.521682743,0.44859527,0.435739251,0.558601939,0.429580282
ACAP3,0.106165651,0.112762396,0.12999248,0.110104549,0.105152556,0.106165651,0.112762396,0.12999248,0.110104549,0.111926779
PUSL1,0.095462742,0.097226868,0.064226784,0.108006289,0.098968455,0.095462742,0.097226868,0.064226784,0.108006289,0.055155742
CPSF3L,0.302137537,0.222530027,0.755402663,0.41035148,0.335543162,0.302137537,0.222530027,0.755402663,0.41035148,0.649454302
GLTPD1,0.138841813,0.076934364,0.096367255,0.066985484,0.056317255,0.138841813,0.076934364,0.096367255,0.066985484,0.082155332
DVL1,0.008965716,0.009583028,0,0.005861493,0,0.008965716,0.009583028,0,0.005861493,0
MXRA8,0.0163941,0.005004178,0.005897068,0.005944561,0.007894292,0.0163941,0.005004178,0.005897068,0.005944561,0.004608427
AURKAIP1,1.375288644,1.697514289,1.425012396,1.560789545,1.434958575,1.375288644,1.697514289,1.425012396,1.560789545,1.392604162
CCNL2,0.246927317,0.256367796,0.232940053,0.250998071,0.241328593,0.246927317,0.256367796,0.232940053,0.250998071,0.212454123
RP4-758J18.2,0.159711757,0.104123699,0.171284116,0.169056827,0.142812935,0.159711757,0.104123699,0.171284116,0.169056827,0.161010707
MRPL20,1.326961591,1.631397255,1.392123419,1.357909866,1.447994746,1.326961591,1.631397255,1.392123419,1.357909866,1.455468011
ATAD3C,0.014278335,0.004530648,0.005339045,0.016411476,0.007147278,0.014278335,0.004530648,0.005339045,0.016411476,0.012722737
ATAD3B,0.033740819,0.029711187,0.050060015,0.04838076,0.029382418,0.033740819,0.029711187,0.050060015,0.04838076,0.036733179
ATAD3A,0.068822179,0.064928235,0.053001088,0.040282765,0.060705374,0.068822179,0.064928235,0.053001088,0.040282765,0.064523522
SSU72,1.859634384,1.968828708,1.992672779,1.87723129,1.835336915,1.859634384,1.968828708,1.992672779,1.87723129,1.901518889
AL645728.1,0.047923718,0.042242638,0.052131891,0.072634611,0.061784537,0.047923718,0.042242638,0.052131891,0.072634611,0.065474541
C1orf233,0.003652301,0.017139783,0,0.002364838,0.003875068,0.003652301,0.017139783,0,0.002364838,0.01470695
RP11-345P4.9,0.037657891,0.07362652,0.040774691,0.029865297,0.039660689,0.037657891,0.07362652,0.040774691,0.029865297,0.038884319
MIB2,0.246548453,0.134106276,0.196181907,0.413814132,0.183318641,0.246548453,0.134106276,0.196181907,0.413814132,0.287446822
MMP23B,0.007195623,0.004079218,0.004807068,0.046553569,0.009963841,0.007195623,0.004079218,0.004807068,0.046553569,0.020811492
CDK11B,0.127050252,0.108446375,0.073874215,0.100483757,0.092538535,0.127050252,0.108446375,0.073874215,0.100483757,0.119245473
SLC35E2B,0.089036324,0.046543954,0.055279883,0.093282524,0.038396254,0.089036324,0.046543954,0.055279883,0.093282524,0.057266828
CDK11A,0.284916771,0.28458321,0.237550162,0.287557723,0.257867769,0.284916771,0.28458321,0.237550162,0.287557723,0.247424227
SLC35E2,0.028030317,0.009514929,0.018918234,0.005251494,0.006973909,0.028030317,0.009514929,0.018918234,0.005251494,0.013913847
NADK,0.185363922,0.352851997,0.255837339,0.274560344,0.370387034,0.185363922,0.352851997,0.255837339,0.274560344,0.264029058
GNB1,0.466447222,0.69698989,0.518185289,0.643723986,0.670021862,0.466447222,0.69698989,0.518185289,0.643723986,0.600668321
RP1-140A9.1,0.003621876,0.004092515,0.009590221,0.009667457,0.012838245,0.003621876,0.004092515,0.009590221,0.009667457,0.003725681
TMEM52,0,0,0,0.005670815,0,0,0,0,0.005670815,0.004396209
