Gene,monocytic.lineage,CD4.T.cells,NK.cells,naive.CD8.T.cells,fibroblasts,endothelial.cells,B.cells,neutrophils
ABCA5,18.35739316,43.08169689,63.34601174,48.07726769,25.89600813,79.50603251,27.65254384,26.22902496
ABCB1,13.46795258,34.89057521,145.813992,57.4775539,20.12920591,9.894062673,72.40094318,23.32784129
ABHD5,62.87856759,42.79990627,39.96361029,32.9409149,305.9038895,45.14522841,24.3727958,160.3476733
ACSM3,16.67459145,28.55981184,22.37620719,26.57111106,29.87160081,32.40856344,22.07819592,26.25922365
ADAM19,59.01350143,75.92887949,27.9261372,40.25628181,101.6320192,238.4446642,144.9819635,83.5209787
ADAMTS5,21.41203046,13.76146115,15.14422042,11.28362184,9.32392941,25.86657622,15.66398178,16.4108195
ADI1,175.2336386,101.8592764,66.98540878,65.15642518,70.23462831,429.7643981,112.1409261,121.6727995
AGPAT5,60.87478447,59.89600371,42.97780169,61.08871209,62.64211864,29.54638318,89.40214232,26.83427525
ALAS1,72.48116293,50.16653962,49.93391614,54.23151819,54.99599939,116.3976747,51.99389586,74.65606303
ALPL,20.88843275,20.80671187,19.6829952,19.43641224,13.35220537,10.61014851,31.64772986,176.0861151
ANK3,20.03764164,43.88988792,23.28151784,33.51073807,32.72533487,17.4845948,16.51013453,26.18605714
ANXA3,16.37089503,13.85315913,20.11809261,12.25311574,44.42098038,16.05938555,11.00668704,221.1816545
AOC2,18.72844432,21.76573172,22.60797111,16.96851796,24.21830845,22.55325487,24.4228892,64.04785504
APOBEC3A,201.2817119,37.09789964,35.09732435,22.59562829,112.7110827,121.9536509,15.73916248,462.7379985
APOBEC3G,73.85765913,77.58580926,123.7862552,148.213874,60.10888615,31.54247368,143.0002148,72.05457644
APOE,15.88414505,21.42623913,19.79474332,18.7958049,11.31623289,20.79974481,20.22094045,19.72990024
ARID4A,57.56405682,73.93563844,70.01164907,91.26360696,94.85529853,202.3558236,88.78179444,131.7498766
ARNT2,13.19481679,13.88456719,14.6277663,12.27067936,14.98143848,8.278741684,9.173492373,15.61898998
ASGR1,140.6002952,36.8322243,17.03981954,25.50630738,21.62674893,12.488611,15.04568781,26.22434895
ASGR2,142.2593104,31.08651798,19.56040718,21.3362284,16.72404033,12.89357751,15.22924711,26.82691992
ASRGL1,74.41184801,25.0296369,24.38269203,25.8688013,98.71850972,114.8737546,26.04405497,55.15984363
ATP2A1,14.15964269,17.03671199,19.76963557,17.74000641,12.23729981,11.38194017,17.039793,18.43615527
ATP2B1,88.35646159,68.62920333,52.51203328,76.49565348,63.11491981,97.14080659,71.14059348,194.1341892
