	Neuronal	Astrocytic	Oligodendrocytic	Microglial
1367452_at	11.20686497	11.29751043	11.11535995	10.80786358
1367453_at	9.869630937	9.579128172	10.00471024	10.26896652
1367454_at	9.899429589	10.35298521	10.2145089	10.09419367
1367455_at	10.98388614	10.96100839	11.11110327	10.95212026
1367456_at	10.1686407	10.7133421	10.96165627	10.95996147
1367457_at	10.05580498	9.727939252	9.870763358	9.69675126
1367458_at	7.751488056	7.64631574	7.623583969	7.957103795
1367459_at	11.95221283	11.28393944	12.06322855	11.72511632
1367460_at	11.22508755	11.71975877	11.89757627	12.23660925
1367461_at	9.324673702	9.599153414	9.81958516	9.678024805
1367462_at	9.672142085	10.57150444	10.70541175	10.60815072
1367463_at	9.955648818	10.04261923	10.33100805	10.52687345
1367464_at	10.0437207	10.16753901	10.54042855	10.24651828
1367465_at	9.692078933	10.18731694	9.914670647	9.799545953
1367466_at	9.956984243	9.483670298	9.803020332	9.694503814
1367467_at	9.098520857	10.48255126	9.776765398	10.00233249
1367468_at	9.40069463	9.281499132	9.405936409	9.693315221
1367469_at	12.09751318	12.32832006	12.20392351	11.83365533
1367470_at	9.865247172	10.27275271	10.15417683	9.882362121
1367471_at	8.157411039	9.196284996	8.518986497	9.293911198
1367472_at	11.05196257	10.45147054	10.72831167	10.74879234
1367473_at	9.732091258	9.479896544	10.02220597	9.987145264
1367474_at	8.677980695	9.080492444	9.118443927	9.146790296
1367475_at	10.00896018	10.80313506	10.98563967	11.22335896
1367476_at	11.44545749	11.79949689	11.42385009	11.44253569
1367477_at	9.689281899	9.421358215	10.1524723	9.665343055
1367478_at	9.106998519	8.578120617	8.003065532	9.060473999
1367479_at	11.22882796	10.20688347	11.08428344	10.9785817
1367480_at	9.50035897	10.35746014	10.28723677	10.34780657
1367481_at	9.414664094	10.05142603	9.184541377	9.228005748
1367482_at	9.659948879	9.752683669	10.02679203	10.04340571
1367483_at	8.172539427	8.257327525	8.354242408	8.652731348
1367484_at	10.34478314	10.34371222	10.17577146	10.03377783
1367485_at	9.953772161	10.21485857	10.1967024	10.04074199
1367486_at	7.905319642	8.396947133	8.61232748	8.505483628
1367487_at	8.251784735	7.484072404	7.955277064	8.040280513
1367488_at	8.72208874	7.767548819	8.056908842	7.859644078
1367489_at	8.026136511	6.972087752	6.809734248	7.200832119
1367490_at	8.271277715	8.179124514	8.122449408	7.83582579
1367491_at	8.471061515	9.058667998	9.18752604	9.203929785
1367492_at	9.293597635	9.475145518	9.418172676	9.823721217
1367493_at	9.689675785	9.528952933	10.0387298	9.974928686
1367494_at	9.642775094	10.18077536	10.23415305	10.43741626
1367495_at	9.490644064	9.042430509	9.783098418	9.202042153
1367496_at	9.948496368	10.28426594	10.01414992	10.29127299
1367497_at	9.656876805	10.00286839	10.83159889	10.4121369
1367498_at	9.383838642	8.92182125	8.989293855	9.017095355
1367499_at	8.383751808	7.383813252	8.025996842	7.905411252
1367500_at	9.729320119	10.19849056	10.42559377	10.64538837
1367501_at	8.114389409	7.682291854	8.093373916	7.902369779
1367502_at	7.666830347	8.370300877	7.892110161	8.041351488
1367503_at	9.116615968	10.64516845	10.48799815	11.25456943
1367504_at	9.067738367	8.128409872	8.650689258	8.674946875
1367505_at	8.812526355	7.89780406	8.232159407	8.21062531
1367506_at	8.253513641	8.503134697	8.840680507	8.651388933
1367507_at	5.807999185	6.263589089	5.837408575	6.272817177
1367508_at	8.02271445	7.68907566	8.10490186	7.806577674
1367509_at	10.64160126	10.5466059	10.025199	9.703903051
1367510_at	9.609066136	10.74411671	9.653577217	9.241600768
1367511_at	7.779230779	9.093455001	8.755891232	9.353383349
1367512_at	10.96392161	11.38308646	11.57072052	11.03405571
1367513_at	8.339157588	8.515566084	8.165193259	7.867791561
1367514_at	7.817286283	8.722837012	8.027794712	8.44975287
1367515_at	9.297220378	8.549180301	9.040540967	8.365959902
1367516_at	8.752075768	8.384537757	7.98309656	8.86441714
1367517_at	6.193397891	7.050590678	8.157119996	7.320384034
1367518_at	9.669274281	9.140241912	8.798017239	8.67255754
1367519_at	9.096495001	8.635585624	8.257375771	8.750181936
1367520_at	9.282894882	10.32213737	8.969422822	9.293638399
1367521_at	7.462998892	6.398107347	6.86729126	7.729873732
1367522_at	9.43151057	8.776089452	9.071086136	8.683542536
1367523_at	9.751474762	9.276038403	10.10423725	10.08684171
1367524_at	6.459700297	6.501294428	6.624209775	7.588088398
1367525_at	8.751363098	9.097552178	9.33442159	9.590448557
1367526_at	9.093810829	8.930675965	9.109377438	9.165891417
1367527_at	8.016759288	8.152431015	8.406924776	8.756101078
1367528_at	8.873499199	9.167419823	8.89796277	8.961610774
1367529_at	8.388320025	8.461609768	8.809767933	8.657256891
1367530_at	8.413175966	8.183564408	8.516770597	8.163669914
1367531_at	11.14581045	10.81294119	10.99358942	10.96383611
1367532_at	9.493493233	11.5376013	11.34598557	11.13677191
1367533_at	9.428013387	8.875461734	9.039099748	9.085407751
1367534_at	8.593191725	7.835876137	7.540339712	7.40438176
1367535_at	8.237320323	7.81517485	7.913844775	7.841272663
1367536_at	6.765644125	6.856470766	7.617578246	7.574253948
1367537_at	8.267523138	7.520398509	7.642393623	8.245359701
1367538_at	7.978880275	8.180238806	9.085969407	8.166998869
1367539_at	8.465645639	8.784528271	8.84685914	8.732685049
1367540_at	6.992782473	7.396975627	7.357367024	9.046073639
