,B_cell,CD4_Tcell,CD8_Tcell,Neutrophil,Macrophage,Dendritic
ABCC1,52.0,216.0,110.0,280.0,747.0,654.0
ABHD2,69.0,218.0,162.0,1135.0,328.0,2272.0
ABI1,637.0,61.0,275.0,759.0,1082.0,270.0
ABL2,41.0,128.0,274.0,85.0,638.0,781.0
ABTB1,135.0,507.0,271.5,5322.5,190.5,97.5
ABTB2,235.0,28.0,42.0,99.0,128.0,12.0
ACAP1,261.0,104.0,409.0,677.0,11.0,13.0
ACAP2,437.0,17.0,103.0,1149.0,326.0,356.0
ACER3,68.0,95.5,38.5,70.0,467.5,947.5
ACP5,85.0,33.0,34.0,123.0,383.0,1564.0
ACTR2,726.6666666666666,348.3333333333333,623.0,3077.0,1377.3333333333333,636.0
ADAM12,123.0,13.0,35.0,100.0,66.0,1633.0
ADAM19,272.0,210.0,130.0,179.0,104.0,593.0
ADAM8,194.0,159.0,94.0,1624.0,235.0,51.0
ADAP2,43.0,37.0,24.0,80.0,411.0,1006.0
ADCY7,113.0,160.0,230.0,284.0,192.0,214.0
ADPGK,242.0,165.0,214.0,353.0,867.0,477.0
AGPS,82.0,358.0,215.0,65.0,323.0,466.0
AHRR,219.0,163.0,24.0,273.0,2735.0,2432.0
AIF1,18.666666666666668,1004.0,603.3333333333334,3218.3333333333335,750.3333333333334,1414.0
AIFM2,21.0,39.0,91.0,17.0,346.0,850.0
AIM2,225.0,120.0,205.0,82.0,195.0,35.0
AKAP13,387.0,391.0,748.0,1066.0,1579.0,371.0
AKIRIN1,227.66666666666666,376.0,441.6666666666667,661.0,697.6666666666666,391.0
AKNOGENE,483.0,1193.0,2397.0,2893.0,251.0,552.0
AKT1S1,91.0,111.0,82.0,94.0,184.0,396.0
ALG2,183.0,1140.0,218.0,158.0,1322.0,528.0
ALG5,126.0,144.0,80.0,205.0,157.0,114.0
ALOX15,87.0,36.0,3.0,197.0,17.0,1560.0
ALOX5,218.0,54.0,15.0,1335.0,74.0,137.0
ALPK1,49.0,783.0,34.0,2036.0,148.0,408.0
AMICA1,26.0,1325.0,1023.0,11034.0,602.0,3011.0
AMPD1,162.0,27.0,51.0,92.0,97.0,39.0
AMPD2,157.0,447.0,317.0,3526.0,391.0,222.0
AMPD3,151.0,165.0,86.0,240.0,1213.0,550.0
ANKRD13A,1090.0,1476.0,730.0,5738.0,779.0,703.0
ANKRD28,56.5,155.0,175.5,139.5,356.5,466.5
ANKRD44,918.0,610.0,485.0,1640.0,144.0,487.0
ANP32A,553.0,217.0,500.0,1665.0,558.0,294.0
ANP32E,226.5,224.5,103.0,235.0,81.5,145.5
AP1S2,140.0,241.0,160.0,685.0,1269.0,325.0
AP2S1,171.0,80.0,151.0,179.0,531.0,658.0
APBB1IP,700.0,2546.0,3080.0,8203.0,419.0,2322.0
APOBEC3A,56.0,121.0,24.0,1449.0,206.0,20.0
APOBEC3B,116.0,22.0,144.0,41.0,81.0,13.0
APOBEC3G,174.0,424.0,699.0,120.0,114.0,57.0
ARAP1,109.0,296.0,36.0,662.0,344.0,262.0
ARF6,557.0,593.0,289.0,377.0,256.0,225.0
ARHGAP15,223.0,363.0,315.0,1356.0,137.0,101.0
ARHGAP18,101.0,533.0,306.0,139.0,872.0,3008.0
